x-axis,VC,VIN
second,Volt,Volt
-20.5000E-06,-497.6562574E-03,-500.4687576E-03
-20.4000E-06,-497.2656324E-03,-500.4687576E-03
-20.3000E-06,-498.4375074E-03,-501.2500077E-03
-20.2000E-06,-498.0468824E-03,-501.2500077E-03
-20.1000E-06,-496.4843824E-03,-499.2968826E-03
-20.0000E-06,-495.7031324E-03,-498.1250076E-03
-19.9000E-06,-496.0937574E-03,-499.6875076E-03
-19.8000E-06,-496.8750074E-03,-500.8593826E-03
-19.7000E-06,-497.2656324E-03,-500.4687576E-03
-19.6000E-06,-496.8750074E-03,-499.6875076E-03
-19.5000E-06,-496.8750074E-03,-500.4687576E-03
-19.4000E-06,-497.2656324E-03,-500.8593826E-03
-19.3000E-06,-498.0468824E-03,-500.8593826E-03
-19.2000E-06,-497.6562574E-03,-500.8593826E-03
-19.1000E-06,-496.4843824E-03,-499.6875076E-03
-19.0000E-06,-496.0937574E-03,-498.1250076E-03
-18.9000E-06,-495.7031324E-03,-498.9062576E-03
-18.8000E-06,-496.8750074E-03,-500.0781326E-03
-18.7000E-06,-497.2656324E-03,-500.4687576E-03
-18.6000E-06,-497.2656324E-03,-500.4687576E-03
-18.5000E-06,-497.6562574E-03,-500.4687576E-03
-18.4000E-06,-497.6562574E-03,-500.4687576E-03
-18.3000E-06,-497.2656324E-03,-500.0781326E-03
-18.2000E-06,-496.8750074E-03,-499.6875076E-03
-18.1000E-06,-498.0468824E-03,-501.2500077E-03
-18.0000E-06,-498.0468824E-03,-500.4687576E-03
-17.9000E-06,-496.4843824E-03,-498.9062576E-03
-17.8000E-06,-494.5312574E-03,-496.5625076E-03
-17.7000E-06,-498.0468824E-03,-501.2500077E-03
-17.6000E-06,-499.2187574E-03,-502.8125077E-03
-17.5000E-06,-497.6562574E-03,-500.0781326E-03
-17.4000E-06,-495.3125074E-03,-496.9531326E-03
-17.3000E-06,-496.4843824E-03,-500.0781326E-03
-17.2000E-06,-498.0468824E-03,-501.6406327E-03
-17.1000E-06,-496.8750074E-03,-498.9062576E-03
-17.0000E-06,-496.0937574E-03,-498.9062576E-03
-16.9000E-06,-497.2656324E-03,-500.8593826E-03
-16.8000E-06,-498.4375074E-03,-501.2500077E-03
-16.7000E-06,-496.8750074E-03,-499.2968826E-03
-16.6000E-06,-497.2656324E-03,-499.6875076E-03
-16.5000E-06,-495.7031324E-03,-498.1250076E-03
-16.4000E-06,-498.0468824E-03,-501.2500077E-03
-16.3000E-06,-496.8750074E-03,-499.6875076E-03
-16.2000E-06,-498.0468824E-03,-500.4687576E-03
-16.1000E-06,-496.0937574E-03,-498.9062576E-03
-16.0000E-06,-497.6562574E-03,-500.8593826E-03
-15.9000E-06,-496.0937574E-03,-498.1250076E-03
-15.8000E-06,-498.4375074E-03,-501.6406327E-03
-15.7000E-06,-497.6562574E-03,-500.0781326E-03
-15.6000E-06,-497.2656324E-03,-500.0781326E-03
-15.5000E-06,-497.2656324E-03,-499.6875076E-03
-15.4000E-06,-496.4843824E-03,-499.2968826E-03
-15.3000E-06,-496.8750074E-03,-499.6875076E-03
-15.2000E-06,-497.2656324E-03,-500.0781326E-03
-15.1000E-06,-497.6562574E-03,-500.0781326E-03
-15.0000E-06,-496.4843824E-03,-499.2968826E-03
-14.9000E-06,-496.4843824E-03,-499.6875076E-03
-14.8000E-06,-497.6562574E-03,-500.4687576E-03
-14.7000E-06,-498.8281324E-03,-501.2500077E-03
-14.6000E-06,-498.0468824E-03,-500.4687576E-03
-14.5000E-06,-497.2656324E-03,-499.2968826E-03
-14.4000E-06,-496.4843824E-03,-498.9062576E-03
-14.3000E-06,-496.0937574E-03,-499.2968826E-03
-14.2000E-06,-496.4843824E-03,-499.2968826E-03
-14.1000E-06,-496.8750074E-03,-500.0781326E-03
-14.0000E-06,-497.6562574E-03,-500.4687576E-03
-13.9000E-06,-497.2656324E-03,-500.0781326E-03
-13.8000E-06,-497.2656324E-03,-499.2968826E-03
-13.7000E-06,-496.8750074E-03,-499.6875076E-03
-13.6000E-06,-496.8750074E-03,-499.6875076E-03
-13.5000E-06,-497.2656324E-03,-500.4687576E-03
-13.4000E-06,-498.0468824E-03,-500.4687576E-03
-13.3000E-06,-497.2656324E-03,-500.0781326E-03
-13.2000E-06,-496.8750074E-03,-499.2968826E-03
-13.1000E-06,-496.8750074E-03,-498.9062576E-03
-13.0000E-06,-497.2656324E-03,-499.6875076E-03
-12.9000E-06,-497.6562574E-03,-500.4687576E-03
-12.8000E-06,-498.0468824E-03,-500.8593826E-03
-12.7000E-06,-498.0468824E-03,-500.4687576E-03
-12.6000E-06,-497.2656324E-03,-500.0781326E-03
-12.5000E-06,-496.4843824E-03,-498.9062576E-03
-12.4000E-06,-496.4843824E-03,-498.9062576E-03
-12.3000E-06,-496.0937574E-03,-498.9062576E-03
-12.2000E-06,-496.8750074E-03,-499.2968826E-03
-12.1000E-06,-496.4843824E-03,-498.9062576E-03
-12.0000E-06,-496.4843824E-03,-498.9062576E-03
-11.9000E-06,-498.0468824E-03,-501.2500077E-03
-11.8000E-06,-499.2187574E-03,-502.0312577E-03
-11.7000E-06,-499.2187574E-03,-502.0312577E-03
-11.6000E-06,-497.6562574E-03,-499.6875076E-03
-11.5000E-06,-496.0937574E-03,-497.3437576E-03
-11.4000E-06,-495.3125074E-03,-497.3437576E-03
-11.3000E-06,-496.0937574E-03,-498.9062576E-03
-11.2000E-06,-498.0468824E-03,-501.2500077E-03
-11.1000E-06,-499.6093824E-03,-502.8125077E-03
-11.0000E-06,-498.4375074E-03,-500.8593826E-03
-10.9000E-06,-496.0937574E-03,-498.1250076E-03
-10.8000E-06,-495.3125074E-03,-498.1250076E-03
-10.7000E-06,-496.0937574E-03,-499.2968826E-03
-10.6000E-06,-497.6562574E-03,-500.8593826E-03
-10.5000E-06,-498.4375074E-03,-501.2500077E-03
-10.4000E-06,-498.0468824E-03,-500.0781326E-03
-10.3000E-06,-496.4843824E-03,-498.9062576E-03
-10.2000E-06,-496.8750074E-03,-498.9062576E-03
-10.1000E-06,-496.8750074E-03,-499.6875076E-03
-10.0000E-06,-497.2656324E-03,-500.0781326E-03
-9.9000E-06,-498.0468824E-03,-500.8593826E-03
-9.8000E-06,-498.0468824E-03,-500.4687576E-03
-9.7000E-06,-497.6562574E-03,-500.0781326E-03
-9.6000E-06,-497.2656324E-03,-500.0781326E-03
-9.5000E-06,-497.2656324E-03,-499.2968826E-03
-9.4000E-06,-496.4843824E-03,-499.2968826E-03
-9.3000E-06,-496.8750074E-03,-499.2968826E-03
-9.2000E-06,-496.8750074E-03,-499.6875076E-03
-9.1000E-06,-497.6562574E-03,-500.4687576E-03
-9.0000E-06,-497.2656324E-03,-500.0781326E-03
-8.9000E-06,-497.2656324E-03,-500.0781326E-03
-8.8000E-06,-496.8750074E-03,-499.6875076E-03
-8.7000E-06,-497.6562574E-03,-500.0781326E-03
-8.6000E-06,-497.2656324E-03,-499.6875076E-03
-8.5000E-06,-497.6562574E-03,-500.4687576E-03
-8.4000E-06,-497.6562574E-03,-500.0781326E-03
-8.3000E-06,-497.2656324E-03,-499.6875076E-03
-8.2000E-06,-496.4843824E-03,-499.2968826E-03
-8.1000E-06,-496.0937574E-03,-499.2968826E-03
-8.0000E-06,-496.4843824E-03,-499.2968826E-03
-7.9000E-06,-497.2656324E-03,-500.0781326E-03
-7.8000E-06,-497.6562574E-03,-500.4687576E-03
-7.7000E-06,-497.6562574E-03,-500.4687576E-03
-7.6000E-06,-497.6562574E-03,-500.4687576E-03
-7.5000E-06,-497.6562574E-03,-499.6875076E-03
-7.4000E-06,-497.6562574E-03,-500.4687576E-03
-7.3000E-06,-498.8281324E-03,-500.4687576E-03
-7.2000E-06,-498.4375074E-03,-501.2500077E-03
-7.1000E-06,-497.2656324E-03,-500.0781326E-03
-7.0000E-06,-496.4843824E-03,-498.5156326E-03
-6.9000E-06,-495.3125074E-03,-497.3437576E-03
-6.8000E-06,-495.7031324E-03,-498.9062576E-03
-6.7000E-06,-496.0937574E-03,-499.2968826E-03
-6.6000E-06,-497.2656324E-03,-500.4687576E-03
-6.5000E-06,-498.0468824E-03,-500.4687576E-03
-6.4000E-06,-498.8281324E-03,-500.8593826E-03
-6.3000E-06,-498.0468824E-03,-500.0781326E-03
-6.2000E-06,-498.0468824E-03,-500.0781326E-03
-6.1000E-06,-496.8750074E-03,-498.9062576E-03
-6.0000E-06,-497.6562574E-03,-500.0781326E-03
-5.9000E-06,-498.0468824E-03,-500.4687576E-03
-5.8000E-06,-497.2656324E-03,-200.8593782E-03
-5.7000E-06,-485.5468822E-03,+440.1562564E-03
-5.6000E-06,-471.8750070E-03,+502.6562573E-03
-5.5000E-06,-457.4218818E-03,+502.2656323E-03
-5.4000E-06,-444.9218816E-03,+499.1406323E-03
-5.3000E-06,-432.0312564E-03,+496.7968822E-03
-5.2000E-06,-418.7500062E-03,+495.6250072E-03
-5.1000E-06,-405.4687560E-03,+493.6718822E-03
-5.0000E-06,-392.9687559E-03,+492.8906322E-03
-4.9000E-06,-380.0781307E-03,+493.6718822E-03
-4.8000E-06,-367.1875055E-03,+493.6718822E-03
-4.7000E-06,-355.0781303E-03,+493.2812572E-03
-4.6000E-06,-343.3593801E-03,+492.5000072E-03
-4.5000E-06,-332.0312549E-03,+492.1093821E-03
-4.4000E-06,-319.9218798E-03,+492.1093821E-03
-4.3000E-06,-308.9843796E-03,+492.5000072E-03
-4.2000E-06,-297.6562544E-03,+492.5000072E-03
-4.1000E-06,-287.5000043E-03,+491.7187571E-03
-4.0000E-06,-277.3437541E-03,+491.7187571E-03
-3.9000E-06,-266.0156290E-03,+492.8906322E-03
-3.8000E-06,-255.4687538E-03,+492.5000072E-03
-3.7000E-06,-246.0937537E-03,+491.7187571E-03
-3.6000E-06,-236.3281285E-03,+491.3281321E-03
-3.5000E-06,-226.1718784E-03,+491.7187571E-03
-3.4000E-06,-215.6250032E-03,+492.5000072E-03
-3.3000E-06,-205.0781281E-03,+492.5000072E-03
-3.2000E-06,-194.5312529E-03,+492.8906322E-03
-3.1000E-06,-185.1562528E-03,+492.8906322E-03
-3.0000E-06,-175.0000026E-03,+492.8906322E-03
-2.9000E-06,-165.2343775E-03,+492.5000072E-03
-2.8000E-06,-156.2500023E-03,+492.5000072E-03
-2.7000E-06,-147.2656272E-03,+492.5000072E-03
-2.6000E-06,-139.0625021E-03,+492.1093821E-03
-2.5000E-06,-130.0781269E-03,+492.8906322E-03
-2.4000E-06,-121.4843768E-03,+492.5000072E-03
-2.3000E-06,-112.8906267E-03,+492.5000072E-03
-2.2000E-06,-104.6875016E-03,+492.8906322E-03
-2.1000E-06,-96.0937514E-03,+493.2812572E-03
-2.0000E-06,-87.5000013E-03,+493.2812572E-03
-1.9000E-06,-79.2968762E-03,+493.6718822E-03
-1.8000E-06,-71.8750011E-03,+492.8906322E-03
-1.7000E-06,-64.0625010E-03,+492.5000072E-03
-1.6000E-06,-56.6406258E-03,+492.5000072E-03
-1.5000E-06,-48.8281257E-03,+493.6718822E-03
-1.4000E-06,-40.2343756E-03,+493.6718822E-03
-1.3000E-06,-32.8125005E-03,+493.2812572E-03
-1.2000E-06,-26.9531254E-03,+492.5000072E-03
-1.1000E-06,-19.1406253E-03,+493.2812572E-03
-1.0000E-06,-10.5468752E-03,+495.6250072E-03
-900.0E-09,-2.7343750E-03,+496.4062572E-03
-800.0E-09,+3.1250000E-03,+493.6718822E-03
-700.0E-09,+7.4218751E-03,+492.8906322E-03
-600.0E-09,+12.1093752E-03,+492.1093821E-03
-500.0E-09,+17.5781253E-03,+492.1093821E-03
-400.0E-09,+24.6093754E-03,+493.2812572E-03
-300.0E-09,+32.8125005E-03,+495.2343822E-03
-200.0E-09,+40.2343756E-03,+495.6250072E-03
-100.0E-09,+45.7031257E-03,+494.8437572E-03
-0.0E+00,+51.9531258E-03,+494.4531322E-03
+100.0E-09,+57.0312508E-03,+494.0625072E-03
+200.0E-09,+63.2812509E-03,+494.4531322E-03
+300.0E-09,+69.1406260E-03,+494.4531322E-03
+400.0E-09,+75.7812511E-03,+494.4531322E-03
+500.0E-09,+81.6406262E-03,+494.4531322E-03
+600.0E-09,+86.7187513E-03,+494.4531322E-03
+700.0E-09,+92.5781264E-03,+494.8437572E-03
+800.0E-09,+98.0468765E-03,+494.8437572E-03
+900.0E-09,+103.1250015E-03,+494.4531322E-03
+1.0000E-06,+108.9843766E-03,+494.8437572E-03
+1.1000E-06,+115.2343767E-03,+495.6250072E-03
+1.2000E-06,+120.3125018E-03,+495.6250072E-03
+1.3000E-06,+125.0000019E-03,+494.8437572E-03
+1.4000E-06,+130.0781269E-03,+494.8437572E-03
+1.5000E-06,+134.3750020E-03,+494.8437572E-03
+1.6000E-06,+139.4531271E-03,+495.2343822E-03
+1.7000E-06,+144.5312522E-03,+495.6250072E-03
+1.8000E-06,+149.2187522E-03,+495.6250072E-03
+1.9000E-06,+154.2968773E-03,+496.4062572E-03
+2.0000E-06,+159.7656274E-03,+496.4062572E-03
+2.1000E-06,+164.0625024E-03,+494.8437572E-03
+2.2000E-06,+167.9687525E-03,+495.2343822E-03
+2.3000E-06,+173.0468776E-03,+496.0156322E-03
+2.4000E-06,+177.3437526E-03,+496.0156322E-03
+2.5000E-06,+182.8125027E-03,+496.4062572E-03
+2.6000E-06,+187.1093778E-03,+496.0156322E-03
+2.7000E-06,+190.6250028E-03,+495.6250072E-03
+2.8000E-06,+192.9687529E-03,+493.6718822E-03
+2.9000E-06,+198.4375030E-03,+496.0156322E-03
+3.0000E-06,+203.9062530E-03,+496.7968822E-03
+3.1000E-06,+209.7656281E-03,+498.7500072E-03
+3.2000E-06,+210.9375031E-03,+495.2343822E-03
+3.3000E-06,+214.0625032E-03,+494.0625072E-03
+3.4000E-06,+217.5781282E-03,+494.4531322E-03
+3.5000E-06,+224.2187533E-03,+497.5781322E-03
+3.6000E-06,+228.5156284E-03,+496.7968822E-03
+3.7000E-06,+232.0312535E-03,+497.1875072E-03
+3.8000E-06,+235.5468785E-03,+496.4062572E-03
+3.9000E-06,+240.2343786E-03,+497.9687572E-03
+4.0000E-06,+242.5781286E-03,+496.0156322E-03
+4.1000E-06,+245.3125037E-03,+496.0156322E-03
+4.2000E-06,+248.4375037E-03,+495.2343822E-03
+4.3000E-06,+253.1250038E-03,+496.4062572E-03
+4.4000E-06,+257.0312538E-03,+496.7968822E-03
+4.5000E-06,+260.5468789E-03,+497.1875072E-03
+4.6000E-06,+262.5000039E-03,+496.0156322E-03
+4.7000E-06,+265.6250040E-03,+495.6250072E-03
+4.8000E-06,+269.1406290E-03,+496.4062572E-03
+4.9000E-06,+272.6562541E-03,+496.7968822E-03
+5.0000E-06,+277.3437541E-03,+497.9687572E-03
+5.1000E-06,+280.8593792E-03,+498.3593822E-03
+5.2000E-06,+280.8593792E-03,+495.2343822E-03
+5.3000E-06,+283.5937542E-03,+494.8437572E-03
+5.4000E-06,+287.8906293E-03,+496.7968822E-03
+5.5000E-06,+291.4062543E-03,+497.5781322E-03
+5.6000E-06,+293.7500044E-03,+496.7968822E-03
+5.7000E-06,+296.8750044E-03,+497.1875072E-03
+5.8000E-06,+299.2187545E-03,+496.7968822E-03
+5.9000E-06,+302.3437545E-03,+497.1875072E-03
+6.0000E-06,+304.6875045E-03,+496.7968822E-03
+6.1000E-06,+307.0312546E-03,+496.4062572E-03
+6.2000E-06,+312.1093797E-03,+499.5312573E-03
+6.3000E-06,+313.2812547E-03,+497.5781322E-03
+6.4000E-06,+316.4062547E-03,+498.7500072E-03
+6.5000E-06,+315.6250047E-03,+494.8437572E-03
+6.6000E-06,+319.1406298E-03,+496.7968822E-03
+6.7000E-06,+320.3125048E-03,+495.2343822E-03
+6.8000E-06,+324.2187548E-03,+497.1875072E-03
+6.9000E-06,+325.7812549E-03,+496.4062572E-03
+7.0000E-06,+329.6875049E-03,+498.7500072E-03
+7.1000E-06,+331.2500049E-03,+497.9687572E-03
+7.2000E-06,+333.2031300E-03,+497.9687572E-03
+7.3000E-06,+335.9375050E-03,+498.3593822E-03
+7.4000E-06,+337.8906300E-03,+497.9687572E-03
+7.5000E-06,+339.8437551E-03,+497.5781322E-03
+7.6000E-06,+340.6250051E-03,+496.7968822E-03
+7.7000E-06,+343.3593801E-03,+497.1875072E-03
+7.8000E-06,+346.0937552E-03,+498.3593822E-03
+7.9000E-06,+347.2656302E-03,+496.7968822E-03
+8.0000E-06,+348.4375052E-03,+496.0156322E-03
+8.1000E-06,+350.7812552E-03,+496.4062572E-03
+8.2000E-06,+353.1250053E-03,+497.1875072E-03
+8.3000E-06,+355.8593803E-03,+497.9687572E-03
+8.4000E-06,+358.5937553E-03,+499.1406323E-03
+8.5000E-06,+360.1562554E-03,+498.7500072E-03
+8.6000E-06,+361.7187554E-03,+498.3593822E-03
+8.7000E-06,+362.8906304E-03,+497.1875072E-03
+8.8000E-06,+364.8437554E-03,+497.5781322E-03
+8.9000E-06,+367.9687555E-03,+499.1406323E-03
+9.0000E-06,+369.9218805E-03,+499.1406323E-03
+9.1000E-06,+371.8750055E-03,+499.5312573E-03
+9.2000E-06,+372.2656305E-03,+497.5781322E-03
+9.3000E-06,+372.6562556E-03,+496.7968822E-03
+9.4000E-06,+373.8281306E-03,+495.6250072E-03
+9.5000E-06,+376.5625056E-03,+497.9687572E-03
+9.6000E-06,+379.2968807E-03,+498.3593822E-03
+9.7000E-06,+380.4687557E-03,+497.9687572E-03
+9.8000E-06,+381.2500057E-03,+497.1875072E-03
+9.9000E-06,+384.7656307E-03,+499.1406323E-03
+10.0000E-06,+387.1093808E-03,+499.9218823E-03
+10.1000E-06,+389.0625058E-03,+499.9218823E-03
+10.2000E-06,+389.8437558E-03,+498.7500072E-03
+10.3000E-06,+390.6250058E-03,+497.5781322E-03
+10.4000E-06,+391.4062558E-03,+497.5781322E-03
+10.5000E-06,+391.4062558E-03,+496.0156322E-03
+10.6000E-06,+393.7500059E-03,+497.1875072E-03
+10.7000E-06,+396.0937559E-03,+498.7500072E-03
+10.8000E-06,+398.8281309E-03,+499.9218823E-03
+10.9000E-06,+398.8281309E-03,+497.9687572E-03
+11.0000E-06,+400.0000060E-03,+497.9687572E-03
+11.1000E-06,+400.3906310E-03,+497.1875072E-03
+11.2000E-06,+401.9531310E-03,+497.5781322E-03
+11.3000E-06,+405.0781310E-03,+498.7500072E-03
+11.4000E-06,+407.0312561E-03,+499.9218823E-03
+11.5000E-06,+408.2031311E-03,+499.5312573E-03
+11.6000E-06,+408.5937561E-03,+498.3593822E-03
+11.7000E-06,+408.5937561E-03,+497.1875072E-03
+11.8000E-06,+409.3750061E-03,+496.7968822E-03
+11.9000E-06,+410.5468811E-03,+497.1875072E-03
+12.0000E-06,+412.1093811E-03,+498.3593822E-03
+12.1000E-06,+414.0625062E-03,+499.1406323E-03
+12.2000E-06,+414.8437562E-03,+498.3593822E-03
+12.3000E-06,+416.4062562E-03,+498.3593822E-03
+12.4000E-06,+417.5781312E-03,+499.1406323E-03
+12.5000E-06,+419.1406312E-03,+498.7500072E-03
+12.6000E-06,+419.5312563E-03,+497.9687572E-03
+12.7000E-06,+418.7500062E-03,+495.6250072E-03
+12.8000E-06,+420.3125063E-03,+497.1875072E-03
+12.9000E-06,+422.2656313E-03,+498.7500072E-03
+13.0000E-06,+424.6093813E-03,+499.9218823E-03
+13.1000E-06,+426.1718814E-03,+499.9218823E-03
+13.2000E-06,+427.3437564E-03,+499.9218823E-03
+13.3000E-06,+427.3437564E-03,+498.3593822E-03
+13.4000E-06,+426.9531314E-03,+497.1875072E-03
+13.5000E-06,+428.5156314E-03,+497.5781322E-03
+13.6000E-06,+430.0781314E-03,+499.1406323E-03
+13.7000E-06,+430.8593814E-03,+499.1406323E-03
+13.8000E-06,+431.2500064E-03,+498.3593822E-03
+13.9000E-06,+432.0312564E-03,+497.9687572E-03
+14.0000E-06,+432.8125064E-03,+497.9687572E-03
+14.1000E-06,+433.5937565E-03,+497.9687572E-03
+14.2000E-06,+435.1562565E-03,+498.7500072E-03
+14.3000E-06,+435.9375065E-03,+498.7500072E-03
+14.4000E-06,+437.1093815E-03,+498.7500072E-03
+14.5000E-06,+437.8906315E-03,+498.7500072E-03
+14.6000E-06,+439.0625065E-03,+498.7500072E-03
+14.7000E-06,+439.8437566E-03,+498.3593822E-03
+14.8000E-06,+440.6250066E-03,+498.7500072E-03
+14.9000E-06,+441.4062566E-03,+498.7500072E-03
+15.0000E-06,+442.1875066E-03,+498.3593822E-03
+15.1000E-06,+442.9687566E-03,+498.3593822E-03
+15.2000E-06,+442.9687566E-03,+498.3593822E-03
+15.3000E-06,+444.1406316E-03,+498.3593822E-03
+15.4000E-06,+444.9218816E-03,+497.9687572E-03
+15.5000E-06,+445.7031316E-03,+498.3593822E-03
+15.6000E-06,+446.8750067E-03,+498.7500072E-03
+15.7000E-06,+448.4375067E-03,+499.1406323E-03
+15.8000E-06,+448.8281317E-03,+499.1406323E-03
+15.9000E-06,+449.6093817E-03,+498.7500072E-03
+16.0000E-06,+450.3906317E-03,+498.7500072E-03
+16.1000E-06,+450.7812567E-03,+498.7500072E-03
+16.2000E-06,+451.1718817E-03,+498.3593822E-03
+16.3000E-06,+451.9531317E-03,+498.7500072E-03
+16.4000E-06,+452.3437567E-03,+497.9687572E-03
+16.5000E-06,+453.1250068E-03,+498.3593822E-03
+16.6000E-06,+453.5156318E-03,+498.3593822E-03
+16.7000E-06,+453.9062568E-03,+498.7500072E-03
+16.8000E-06,+454.6875068E-03,+498.7500072E-03
+16.9000E-06,+455.8593818E-03,+498.7500072E-03
+17.0000E-06,+456.6406318E-03,+498.7500072E-03
+17.1000E-06,+457.0312568E-03,+499.1406323E-03
+17.2000E-06,+458.2031318E-03,+499.5312573E-03
+17.3000E-06,+458.9843818E-03,+499.5312573E-03
+17.4000E-06,+458.9843818E-03,+498.7500072E-03
+17.5000E-06,+458.5937568E-03,+497.5781322E-03
+17.6000E-06,+458.5937568E-03,+497.5781322E-03
+17.7000E-06,+460.5468819E-03,+499.1406323E-03
+17.8000E-06,+462.5000069E-03,+500.7031323E-03
+17.9000E-06,+461.7187569E-03,+498.7500072E-03
+18.0000E-06,+458.9843818E-03,+494.8437572E-03
+18.1000E-06,+458.9843818E-03,+494.8437572E-03
+18.2000E-06,+462.8906319E-03,+499.9218823E-03
+18.3000E-06,+466.7968820E-03,+502.6562573E-03
+18.4000E-06,+467.9687570E-03,+502.2656323E-03
+18.5000E-06,+466.0156319E-03,+498.7500072E-03
+18.6000E-06,+465.6250069E-03,+498.7500072E-03
+18.7000E-06,+466.4062569E-03,+499.5312573E-03
+18.8000E-06,+468.3593820E-03,+501.0937573E-03
+18.9000E-06,+466.7968820E-03,+498.3593822E-03
+19.0000E-06,+464.4531319E-03,+495.2343822E-03
+19.1000E-06,+464.4531319E-03,+496.0156322E-03
+19.2000E-06,+466.7968820E-03,+498.7500072E-03
+19.3000E-06,+468.7500070E-03,+499.1406323E-03
+19.4000E-06,+469.1406320E-03,+499.5312573E-03
+19.5000E-06,+469.5312570E-03,+498.7500072E-03
+19.6000E-06,+470.7031320E-03,+499.9218823E-03
+19.7000E-06,+471.4843820E-03,+500.3125073E-03
+19.8000E-06,+472.2656320E-03,+500.7031323E-03
+19.9000E-06,+471.4843820E-03,+499.1406323E-03
+20.0000E-06,+469.9218820E-03,+496.7968822E-03
+20.1000E-06,+471.0937570E-03,+498.3593822E-03
+20.2000E-06,+472.2656320E-03,+499.5312573E-03
+20.3000E-06,+473.4375071E-03,+500.7031323E-03
+20.4000E-06,+472.2656320E-03,+497.5781322E-03
+20.5000E-06,+471.8750070E-03,+497.5781322E-03
+20.6000E-06,+471.8750070E-03,+496.7968822E-03
+20.7000E-06,+473.8281321E-03,+499.5312573E-03
+20.8000E-06,+475.0000071E-03,+499.9218823E-03
+20.9000E-06,+475.0000071E-03,+499.1406323E-03
+21.0000E-06,+474.6093821E-03,+498.7500072E-03
+21.1000E-06,+475.3906321E-03,+499.1406323E-03
+21.2000E-06,+476.9531321E-03,+500.3125073E-03
+21.3000E-06,+476.9531321E-03,+499.9218823E-03
+21.4000E-06,+476.1718821E-03,+499.5312573E-03
+21.5000E-06,+475.7812571E-03,+497.9687572E-03
+21.6000E-06,+476.5625071E-03,+499.1406323E-03
+21.7000E-06,+476.9531321E-03,+498.7500072E-03
+21.8000E-06,+477.3437571E-03,+498.7500072E-03
+21.9000E-06,+477.3437571E-03,+498.3593822E-03
+22.0000E-06,+477.3437571E-03,+498.3593822E-03
+22.1000E-06,+477.3437571E-03,+497.9687572E-03
+22.2000E-06,+478.1250071E-03,+498.7500072E-03
+22.3000E-06,+478.9062571E-03,+498.7500072E-03
+22.4000E-06,+479.2968821E-03,+498.7500072E-03
+22.5000E-06,+480.0781322E-03,+499.1406323E-03
+22.6000E-06,+480.4687572E-03,+499.5312573E-03
+22.7000E-06,+481.2500072E-03,+499.5312573E-03
+22.8000E-06,+482.0312572E-03,+499.9218823E-03
+22.9000E-06,+481.2500072E-03,+499.5312573E-03
