x-axis,IN,OUT
second,Volt,Volt
-10.00000E-03,+1.11132813E+00,-1.71093750E+00
-9.98000E-03,+1.15039063E+00,-1.75000000E+00
-9.96000E-03,+1.18945313E+00,-1.78906250E+00
-9.94000E-03,+1.22851563E+00,-1.82812500E+00
-9.92000E-03,+1.26757813E+00,-1.86718750E+00
-9.90000E-03,+1.30664062E+00,-1.90625000E+00
-9.88000E-03,+1.34570312E+00,-1.94531250E+00
-9.86000E-03,+1.37500000E+00,-1.99414062E+00
-9.84000E-03,+1.41406250E+00,-2.03320312E+00
-9.82000E-03,+1.45312500E+00,-2.07226562E+00
-9.80000E-03,+1.49218750E+00,-2.11132812E+00
-9.78000E-03,+1.54101562E+00,-2.15039062E+00
-9.76000E-03,+1.58007812E+00,-2.19921875E+00
-9.74000E-03,+1.61914062E+00,-2.23828125E+00
-9.72000E-03,+1.65820312E+00,-2.27734375E+00
-9.70000E-03,+1.69726562E+00,-2.31640625E+00
-9.68000E-03,+1.73632812E+00,-2.34570312E+00
-9.66000E-03,+1.76562500E+00,-2.38476562E+00
-9.64000E-03,+1.80468750E+00,-2.41406250E+00
-9.62000E-03,+1.83398437E+00,-2.45312500E+00
-9.60000E-03,+1.87304687E+00,-2.48242187E+00
-9.58000E-03,+1.90234375E+00,-2.52148437E+00
-9.56000E-03,+1.94140625E+00,-2.56054687E+00
-9.54000E-03,+1.98046875E+00,-2.58984375E+00
-9.52000E-03,+2.00976562E+00,-2.63867187E+00
-9.50000E-03,+2.04882812E+00,-2.67773437E+00
-9.48000E-03,+2.08789062E+00,-2.71679687E+00
-9.46000E-03,+2.11718750E+00,-2.75585937E+00
-9.44000E-03,+2.15625000E+00,-2.79492187E+00
-9.42000E-03,+2.19531250E+00,-2.83398437E+00
-9.40000E-03,+2.23437500E+00,-2.87304687E+00
-9.38000E-03,+2.27343750E+00,-2.91210937E+00
-9.36000E-03,+2.30273437E+00,-2.95117187E+00
-9.34000E-03,+2.34179687E+00,-2.99023437E+00
-9.32000E-03,+2.38085937E+00,-3.03906250E+00
-9.30000E-03,+2.41992187E+00,-3.07812500E+00
-9.28000E-03,+2.45898437E+00,-3.11718750E+00
-9.26000E-03,+2.48828125E+00,-3.15625000E+00
-9.24000E-03,+2.53710937E+00,-3.19531250E+00
-9.22000E-03,+2.57617187E+00,-3.23437500E+00
-9.20000E-03,+2.60546875E+00,-3.26367187E+00
-9.18000E-03,+2.64453125E+00,-3.30273437E+00
-9.16000E-03,+2.68359375E+00,-3.34179687E+00
-9.14000E-03,+2.72265625E+00,-3.38085937E+00
-9.12000E-03,+2.76171875E+00,-3.41992187E+00
-9.10000E-03,+2.80078125E+00,-3.45898437E+00
-9.08000E-03,+2.83984375E+00,-3.48828125E+00
-9.06000E-03,+2.87890625E+00,-3.52734375E+00
-9.04000E-03,+2.91796875E+00,-3.55664062E+00
-9.02000E-03,+2.95703125E+00,-3.59570312E+00
-9.00000E-03,+2.99609375E+00,-3.63476562E+00
-8.98000E-03,+3.03515625E+00,-3.66406250E+00
-8.96000E-03,+3.07421875E+00,-3.70312500E+00
-8.94000E-03,+3.11328125E+00,-3.74218750E+00
-8.92000E-03,+3.15234375E+00,-3.77148437E+00
-8.90000E-03,+3.19140625E+00,-3.81054687E+00
-8.88000E-03,+3.23046875E+00,-3.83984375E+00
-8.86000E-03,+3.25976562E+00,-3.87890625E+00
-8.84000E-03,+3.29882812E+00,-3.91796875E+00
-8.82000E-03,+3.33789062E+00,-3.94726562E+00
-8.80000E-03,+3.37695312E+00,-3.98632812E+00
-8.78000E-03,+3.41601562E+00,-4.02539062E+00
-8.76000E-03,+3.45507812E+00,-4.07421875E+00
-8.74000E-03,+3.49414062E+00,-4.11328125E+00
-8.72000E-03,+3.53320312E+00,-4.16210937E+00
-8.70000E-03,+3.56250000E+00,-4.20117187E+00
-8.68000E-03,+3.61132812E+00,-4.24023437E+00
-8.66000E-03,+3.65039062E+00,-4.26953125E+00
-8.64000E-03,+3.68945312E+00,-4.30859375E+00
-8.62000E-03,+3.72851562E+00,-4.34765625E+00
-8.60000E-03,+3.76757812E+00,-4.39648437E+00
-8.58000E-03,+3.80664062E+00,-4.43554687E+00
-8.56000E-03,+3.84570312E+00,-4.47460937E+00
-8.54000E-03,+3.88476562E+00,-4.51367187E+00
-8.52000E-03,+3.92382812E+00,-4.55273437E+00
-8.50000E-03,+3.96289062E+00,-4.59179687E+00
-8.48000E-03,+4.01171875E+00,-4.63085937E+00
-8.46000E-03,+4.05078125E+00,-4.66992187E+00
-8.44000E-03,+4.08984375E+00,-4.70898437E+00
-8.42000E-03,+4.12890625E+00,-4.73828125E+00
-8.40000E-03,+4.16796875E+00,-4.77734375E+00
-8.38000E-03,+4.20703125E+00,-4.81640625E+00
-8.36000E-03,+4.24609375E+00,-4.85546875E+00
-8.34000E-03,+4.28515625E+00,-4.89453125E+00
-8.32000E-03,+4.32421875E+00,-4.93359375E+00
-8.30000E-03,+4.36328125E+00,-4.97265625E+00
-8.28000E-03,+4.40234375E+00,-5.01171875E+00
-8.26000E-03,+4.44140625E+00,-5.05078125E+00
-8.24000E-03,+4.47070312E+00,-5.08007812E+00
-8.22000E-03,+4.50976562E+00,-5.12890625E+00
-8.20000E-03,+4.54882812E+00,-5.15820312E+00
-8.18000E-03,+4.58789062E+00,-5.19726562E+00
-8.16000E-03,+4.62695312E+00,-5.24609375E+00
-8.14000E-03,+4.66601562E+00,-5.28515625E+00
-8.12000E-03,+4.70507812E+00,-5.32421875E+00
-8.10000E-03,+4.74414062E+00,-5.37304687E+00
-8.08000E-03,+4.78320312E+00,-5.41210937E+00
-8.06000E-03,+4.82226562E+00,-5.45117187E+00
-8.04000E-03,+4.86132812E+00,-5.49023437E+00
-8.02000E-03,+4.90039062E+00,-5.52929687E+00
-8.00000E-03,+4.94921875E+00,-5.56835937E+00
