x-axis,IN,OUT
second,Volt,Volt
-10.00000E-03,+1.13085938E+00,-14.09375000E+00
-9.98000E-03,+1.16992188E+00,-14.08398438E+00
-9.96000E-03,+1.20898438E+00,-14.09375000E+00
-9.94000E-03,+1.24804688E+00,-14.08398438E+00
-9.92000E-03,+1.28710938E+00,-14.08398438E+00
-9.90000E-03,+1.32617187E+00,-14.08398438E+00
-9.88000E-03,+1.36523437E+00,-14.08398438E+00
-9.86000E-03,+1.39453125E+00,-14.09375000E+00
-9.84000E-03,+1.43359375E+00,-14.08398438E+00
-9.82000E-03,+1.47265625E+00,-14.08398438E+00
-9.80000E-03,+1.52148437E+00,-14.08398438E+00
-9.78000E-03,+1.56054687E+00,-14.08398438E+00
-9.76000E-03,+1.59960937E+00,-14.08398438E+00
-9.74000E-03,+1.63867187E+00,-14.08398438E+00
-9.72000E-03,+1.67773437E+00,-14.08398438E+00
-9.70000E-03,+1.71679687E+00,-14.08398438E+00
-9.68000E-03,+1.75585937E+00,-14.08398438E+00
-9.66000E-03,+1.78515625E+00,-14.08398438E+00
-9.64000E-03,+1.82421875E+00,-14.08398438E+00
-9.62000E-03,+1.86328125E+00,-14.08398438E+00
-9.60000E-03,+1.89257812E+00,-14.08398438E+00
-9.58000E-03,+1.93164062E+00,-14.08398438E+00
-9.56000E-03,+1.97070312E+00,-14.08398438E+00
-9.54000E-03,+2.00976562E+00,-14.08398438E+00
-9.52000E-03,+2.04882812E+00,-14.08398438E+00
-9.50000E-03,+2.07812500E+00,-14.08398438E+00
-9.48000E-03,+2.11718750E+00,-14.08398438E+00
-9.46000E-03,+2.14648437E+00,-14.08398438E+00
-9.44000E-03,+2.18554687E+00,-14.08398438E+00
-9.42000E-03,+2.22460937E+00,-14.08398438E+00
-9.40000E-03,+2.26367187E+00,-14.08398438E+00
-9.38000E-03,+2.30273437E+00,-14.08398438E+00
-9.36000E-03,+2.34179687E+00,-14.08398438E+00
-9.34000E-03,+2.38085937E+00,-14.08398438E+00
-9.32000E-03,+2.41992187E+00,-14.08398438E+00
-9.30000E-03,+2.45898437E+00,-14.08398438E+00
-9.28000E-03,+2.49804687E+00,-14.08398438E+00
-9.26000E-03,+2.53710937E+00,-14.08398438E+00
-9.24000E-03,+2.57617187E+00,-14.08398438E+00
-9.22000E-03,+2.61523437E+00,-14.08398438E+00
-9.20000E-03,+2.65429687E+00,-14.08398438E+00
-9.18000E-03,+2.69335937E+00,-14.08398438E+00
-9.16000E-03,+2.73242187E+00,-14.08398438E+00
-9.14000E-03,+2.77148437E+00,-14.08398438E+00
-9.12000E-03,+2.81054687E+00,-14.08398438E+00
-9.10000E-03,+2.84960937E+00,-14.08398438E+00
-9.08000E-03,+2.88867187E+00,-14.08398438E+00
-9.06000E-03,+2.92773437E+00,-14.08398438E+00
-9.04000E-03,+2.96679687E+00,-14.08398438E+00
-9.02000E-03,+3.00585937E+00,-14.08398438E+00
-9.00000E-03,+3.04492187E+00,-14.08398438E+00
-8.98000E-03,+3.08398437E+00,-14.08398438E+00
-8.96000E-03,+3.13281250E+00,-14.08398438E+00
-8.94000E-03,+3.17187500E+00,-14.08398438E+00
-8.92000E-03,+3.21093750E+00,-14.08398438E+00
-8.90000E-03,+3.24023437E+00,-14.08398438E+00
-8.88000E-03,+3.27929687E+00,-14.08398438E+00
-8.86000E-03,+3.31835937E+00,-14.08398438E+00
-8.84000E-03,+3.35742187E+00,-14.08398438E+00
-8.82000E-03,+3.39648437E+00,-14.08398438E+00
-8.80000E-03,+3.43554687E+00,-14.08398438E+00
-8.78000E-03,+3.47460937E+00,-14.08398438E+00
-8.76000E-03,+3.51367187E+00,-14.08398438E+00
-8.74000E-03,+3.55273437E+00,-14.08398438E+00
-8.72000E-03,+3.59179687E+00,-14.08398438E+00
-8.70000E-03,+3.63085937E+00,-14.08398438E+00
-8.68000E-03,+3.67968750E+00,-14.08398438E+00
-8.66000E-03,+3.71875000E+00,-14.08398438E+00
-8.64000E-03,+3.75781250E+00,-14.08398438E+00
-8.62000E-03,+3.79687500E+00,-14.08398438E+00
-8.60000E-03,+3.83593750E+00,-14.08398438E+00
-8.58000E-03,+3.87500000E+00,-14.08398438E+00
-8.56000E-03,+3.91406250E+00,-14.08398438E+00
-8.54000E-03,+3.96289062E+00,-14.08398438E+00
-8.52000E-03,+4.00195312E+00,-14.08398438E+00
-8.50000E-03,+4.04101562E+00,-14.08398438E+00
-8.48000E-03,+4.08007812E+00,-14.08398438E+00
-8.46000E-03,+4.11914062E+00,-14.08398438E+00
-8.44000E-03,+4.15820312E+00,-14.08398438E+00
-8.42000E-03,+4.19726562E+00,-14.08398438E+00
-8.40000E-03,+4.24609375E+00,-14.08398438E+00
-8.38000E-03,+4.28515625E+00,-14.08398438E+00
-8.36000E-03,+4.32421875E+00,-14.08398438E+00
-8.34000E-03,+4.36328125E+00,-14.08398438E+00
-8.32000E-03,+4.40234375E+00,-14.08398438E+00
-8.30000E-03,+4.44140625E+00,-14.08398438E+00
-8.28000E-03,+4.48046875E+00,-14.08398438E+00
-8.26000E-03,+4.51953125E+00,-14.08398438E+00
-8.24000E-03,+4.55859375E+00,-14.08398438E+00
-8.22000E-03,+4.59765625E+00,-14.08398438E+00
-8.20000E-03,+4.63671875E+00,-14.08398438E+00
-8.18000E-03,+4.67578125E+00,-14.08398438E+00
-8.16000E-03,+4.71484375E+00,-14.08398438E+00
-8.14000E-03,+4.75390625E+00,-14.08398438E+00
-8.12000E-03,+4.79296875E+00,-14.08398438E+00
-8.10000E-03,+4.83203125E+00,-14.08398438E+00
-8.08000E-03,+4.87109375E+00,-14.08398438E+00
-8.06000E-03,+4.91992187E+00,-14.08398438E+00
-8.04000E-03,+4.95898437E+00,-14.08398438E+00
-8.02000E-03,+4.99804687E+00,-14.08398438E+00
-8.00000E-03,+5.03710937E+00,-14.08398438E+00
-7.98000E-03,+5.07617187E+00,-14.08398438E+00
-7.96000E-03,+5.11523437E+00,-14.08398438E+00
-7.94000E-03,+5.15429687E+00,-14.08398438E+00
-7.92000E-03,+5.19335937E+00,-14.08398438E+00
-7.90000E-03,+5.23242187E+00,-14.08398438E+00
-7.88000E-03,+5.27148437E+00,-14.08398438E+00
-7.86000E-03,+5.30078125E+00,-14.08398438E+00
-7.84000E-03,+5.33984375E+00,-14.08398438E+00
-7.82000E-03,+5.37890625E+00,-14.08398438E+00
-7.80000E-03,+5.41796875E+00,-14.08398438E+00
-7.78000E-03,+5.45703125E+00,-14.08398438E+00
-7.76000E-03,+5.49609375E+00,-14.08398438E+00
-7.74000E-03,+5.53515625E+00,-14.08398438E+00
-7.72000E-03,+5.57421875E+00,-14.08398438E+00
-7.70000E-03,+5.61328125E+00,-14.08398438E+00
-7.68000E-03,+5.64257812E+00,-14.08398438E+00
-7.66000E-03,+5.68164062E+00,-14.08398438E+00
-7.64000E-03,+5.72070312E+00,-14.08398438E+00
-7.62000E-03,+5.75976562E+00,-14.08398438E+00
-7.60000E-03,+5.79882812E+00,-14.08398438E+00
-7.58000E-03,+5.84765625E+00,-14.08398438E+00
-7.56000E-03,+5.88671875E+00,-14.08398438E+00
-7.54000E-03,+5.91601562E+00,-14.08398438E+00
-7.52000E-03,+5.95507812E+00,-14.08398438E+00
-7.50000E-03,+5.99414062E+00,-14.08398438E+00
-7.48000E-03,+6.03320312E+00,-14.08398438E+00
-7.46000E-03,+6.07226562E+00,-14.08398438E+00
-7.44000E-03,+6.11132812E+00,-14.08398438E+00
-7.42000E-03,+6.15039062E+00,-14.08398438E+00
-7.40000E-03,+6.17968750E+00,-14.08398438E+00
-7.38000E-03,+6.21875000E+00,-14.08398438E+00
-7.36000E-03,+6.26757812E+00,-14.08398438E+00
-7.34000E-03,+6.30664062E+00,-14.08398438E+00
-7.32000E-03,+6.34570312E+00,-14.08398438E+00
-7.30000E-03,+6.38476562E+00,-14.08398438E+00
-7.28000E-03,+6.42382812E+00,-14.08398438E+00
-7.26000E-03,+6.46289062E+00,-14.08398438E+00
-7.24000E-03,+6.49218750E+00,-14.08398438E+00
-7.22000E-03,+6.53125000E+00,-14.08398438E+00
-7.20000E-03,+6.57031250E+00,-14.08398438E+00
-7.18000E-03,+6.60937500E+00,-14.08398438E+00
-7.16000E-03,+6.64843750E+00,-14.08398438E+00
-7.14000E-03,+6.68750000E+00,-14.08398438E+00
-7.12000E-03,+6.72656250E+00,-14.08398438E+00
-7.10000E-03,+6.76562500E+00,-14.08398438E+00
-7.08000E-03,+6.80468750E+00,-14.08398438E+00
-7.06000E-03,+6.84375000E+00,-14.08398438E+00
-7.04000E-03,+6.88281250E+00,-14.08398438E+00
