x-axis,IN,OUT
second,Volt,Volt
-10.00000E-03,+1.12109375E+00,-1.71093750E+00
-9.98000E-03,+1.16015625E+00,-1.75000000E+00
-9.96000E-03,+1.19921875E+00,-1.78906250E+00
-9.94000E-03,+1.22851563E+00,-1.82812500E+00
-9.92000E-03,+1.27734375E+00,-1.86718750E+00
-9.90000E-03,+1.31640625E+00,-1.90625000E+00
-9.88000E-03,+1.35546875E+00,-1.95507812E+00
-9.86000E-03,+1.38476562E+00,-1.99414062E+00
-9.84000E-03,+1.42382812E+00,-2.03320312E+00
-9.82000E-03,+1.46289062E+00,-2.07226562E+00
-9.80000E-03,+1.50195312E+00,-2.11132812E+00
-9.78000E-03,+1.54101562E+00,-2.15039062E+00
-9.76000E-03,+1.58984375E+00,-2.19921875E+00
-9.74000E-03,+1.62890625E+00,-2.23828125E+00
-9.72000E-03,+1.66796875E+00,-2.27734375E+00
-9.70000E-03,+1.70703125E+00,-2.31640625E+00
-9.68000E-03,+1.73632812E+00,-2.34570312E+00
-9.66000E-03,+1.77539062E+00,-2.38476562E+00
-9.64000E-03,+1.81445312E+00,-2.41406250E+00
-9.62000E-03,+1.84375000E+00,-2.45312500E+00
-9.60000E-03,+1.88281250E+00,-2.49218750E+00
-9.58000E-03,+1.91210937E+00,-2.52148437E+00
-9.56000E-03,+1.95117187E+00,-2.56054687E+00
-9.54000E-03,+1.98046875E+00,-2.59960937E+00
-9.52000E-03,+2.01953125E+00,-2.63867187E+00
-9.50000E-03,+2.05859375E+00,-2.67773437E+00
-9.48000E-03,+2.09765625E+00,-2.71679687E+00
-9.46000E-03,+2.12695312E+00,-2.75585937E+00
-9.44000E-03,+2.16601562E+00,-2.79492187E+00
-9.42000E-03,+2.19531250E+00,-2.83398437E+00
-9.40000E-03,+2.24414062E+00,-2.87304687E+00
-9.38000E-03,+2.27343750E+00,-2.91210937E+00
-9.36000E-03,+2.31250000E+00,-2.95117187E+00
-9.34000E-03,+2.35156250E+00,-2.99023437E+00
-9.32000E-03,+2.39062500E+00,-3.02929687E+00
-9.30000E-03,+2.42968750E+00,-3.07812500E+00
-9.28000E-03,+2.46875000E+00,-3.11718750E+00
-9.26000E-03,+2.49804687E+00,-3.15625000E+00
-9.24000E-03,+2.54687500E+00,-3.19531250E+00
-9.22000E-03,+2.57617187E+00,-3.23437500E+00
-9.20000E-03,+2.61523437E+00,-3.27343750E+00
-9.18000E-03,+2.65429687E+00,-3.30273437E+00
-9.16000E-03,+2.69335937E+00,-3.35156250E+00
-9.14000E-03,+2.73242187E+00,-3.39062500E+00
-9.12000E-03,+2.77148437E+00,-3.42968750E+00
-9.10000E-03,+2.81054687E+00,-3.45898437E+00
-9.08000E-03,+2.84960937E+00,-3.49804687E+00
-9.06000E-03,+2.88867187E+00,-3.52734375E+00
-9.04000E-03,+2.92773437E+00,-3.56640625E+00
-9.02000E-03,+2.96679687E+00,-3.60546875E+00
-9.00000E-03,+3.00585937E+00,-3.63476562E+00
-8.98000E-03,+3.04492187E+00,-3.66406250E+00
-8.96000E-03,+3.08398437E+00,-3.70312500E+00
-8.94000E-03,+3.12304687E+00,-3.74218750E+00
-8.92000E-03,+3.16210937E+00,-3.77148437E+00
-8.90000E-03,+3.20117187E+00,-3.81054687E+00
-8.88000E-03,+3.23046875E+00,-3.83984375E+00
-8.86000E-03,+3.26953125E+00,-3.87890625E+00
-8.84000E-03,+3.30859375E+00,-3.91796875E+00
-8.82000E-03,+3.34765625E+00,-3.95703125E+00
-8.80000E-03,+3.38671875E+00,-3.98632812E+00
-8.78000E-03,+3.42578125E+00,-4.03515625E+00
-8.76000E-03,+3.46484375E+00,-4.07421875E+00
-8.74000E-03,+3.50390625E+00,-4.12304687E+00
-8.72000E-03,+3.53320312E+00,-4.16210937E+00
-8.70000E-03,+3.57226562E+00,-4.20117187E+00
