Freq,R
1.00000000000000e+001,-5.10547263826668e-001,-1.76347569752884e+002
1.02329299228075e+001,-5.09716730432395e-001,-1.76262732098233e+002
1.04712854805090e+001,-5.08847225405054e-001,-1.76175935309156e+002
1.07151930523761e+001,-5.07936928413984e-001,-1.76087134959258e+002
1.09647819614319e+001,-5.06983934904971e-001,-1.75996285672807e+002
1.12201845430196e+001,-5.05986252280374e-001,-1.75903341108634e+002
1.14815362149688e+001,-5.04941795913417e-001,-1.75808253944066e+002
1.17489755493953e+001,-5.03848384990150e-001,-1.75710975858931e+002
1.20226443461741e+001,-5.02703738172400e-001,-1.75611457519670e+002
1.23026877081238e+001,-5.01505469074922e-001,-1.75509648563581e+002
1.25892541179417e+001,-5.00251081549664e-001,-1.75405497583241e+002
1.28824955169313e+001,-4.98937964770017e-001,-1.75298952111138e+002
1.31825673855641e+001,-4.97563388107617e-001,-1.75189958604568e+002
1.34896288259165e+001,-4.96124495794320e-001,-1.75078462430829e+002
1.38038426460288e+001,-4.94618301361509e-001,-1.74964407852779e+002
1.41253754462275e+001,-4.93041681849115e-001,-1.74847738014797e+002
1.44543977074593e+001,-4.91391371776312e-001,-1.74728394929219e+002
1.47910838816821e+001,-4.89663956865950e-001,-1.74606319463302e+002
1.51356124843621e+001,-4.87855867514534e-001,-1.74481451326795e+002
1.54881661891248e+001,-4.85963371999648e-001,-1.74353729060170e+002
1.58489319246111e+001,-4.83982569416534e-001,-1.74223090023621e+002
1.62181009735893e+001,-4.81909382335659e-001,-1.74089470386880e+002
1.65958690743756e+001,-4.79739549172983e-001,-1.73952805119968e+002
1.69824365246174e+001,-4.77468616264800e-001,-1.73813027984962e+002
1.73780082874937e+001,-4.75091929639047e-001,-1.73670071528877e+002
1.77827941003892e+001,-4.72604626475149e-001,-1.73523867077784e+002
1.81970085860998e+001,-4.70001626244633e-001,-1.73374344732268e+002
1.86208713666287e+001,-4.67277621524938e-001,-1.73221433364353e+002
1.90546071796325e+001,-4.64427068479282e-001,-1.73065060616031e+002
1.94984459975804e+001,-4.61444176995602e-001,-1.72905152899517e+002
1.99526231496888e+001,-4.58322900478241e-001,-1.72741635399404e+002
2.04173794466953e+001,-4.55056925286377e-001,-1.72574432076841e+002
2.08929613085404e+001,-4.51639659813959e-001,-1.72403465675936e+002
2.13796208950223e+001,-4.48064223206515e-001,-1.72228657732522e+002
2.18776162394955e+001,-4.44323433711003e-001,-1.72049928585505e+002
2.23872113856834e+001,-4.40409796655926e-001,-1.71867197390965e+002
2.29086765276777e+001,-4.36315492059779e-001,-1.71680382139226e+002
2.34422881531992e+001,-4.32032361867294e-001,-1.71489399675108e+002
2.39883291901949e+001,-4.27551896814099e-001,-1.71294165721592e+002
2.45470891568503e+001,-4.22865222922044e-001,-1.71094594907133e+002
2.51188643150958e+001,-4.17963087629004e-001,-1.70890600796873e+002
2.57039578276886e+001,-4.12835845558873e-001,-1.70682095928012e+002
2.63026799189538e+001,-4.07473443939481e-001,-1.70468991849613e+002
2.69153480392691e+001,-4.01865407678398e-001,-1.70251199167130e+002
2.75422870333816e+001,-3.96000824109123e-001,-1.70028627591937e+002
2.81838293126445e+001,-3.89868327422799e-001,-1.69801185996192e+002
2.88403150312660e+001,-3.83456082803541e-001,-1.69568782473323e+002
2.95120922666638e+001,-3.76751770288810e-001,-1.69331324404497e+002
3.01995172040201e+001,-3.69742568379606e-001,-1.69088718531376e+002
3.09029543251359e+001,-3.62415137429096e-001,-1.68840871035533e+002
3.16227766016838e+001,-3.54755602842483e-001,-1.68587687624873e+002
3.23593656929628e+001,-3.46749538125167e-001,-1.68329073627421e+002
3.31131121482591e+001,-3.38381947821033e-001,-1.68064934092844e+002
3.38844156139202e+001,-3.29637250387855e-001,-1.67795173902087e+002
3.46736850452531e+001,-3.20499261061988e-001,-1.67519697885487e+002
3.54813389233575e+001,-3.10951174770490e-001,-1.67238410949748e+002
3.63078054770101e+001,-3.00975549154639e-001,-1.66951218214151e+002
3.71535229097172e+001,-2.90554287775499e-001,-1.66658025156365e+002
