freq,vin,amp,pha,v1,v2
5099.999999999999,0.5,-28.2,86.0,1.055,0.046
5265.320761193682,0.5,-27.9,88.0,1.055,0.049
5436.000532991613,0.5,-27.6,86.0,1.055,0.049
5612.213032200132,0.5,-27.3,89.0,1.055,0.05
5794.137606801002,0.5,-27.1,85.0,1.055,0.053
5981.959418490661,0.5,-26.8,87.0,1.055,0.0545
6175.869631136662,0.5,-26.5,88.0,1.07,0.0555
6376.065605343028,0.5,-26.2,85.0,1.07,0.055
6582.751099322671,0.5,-25.9,88.0,1.055,0.057
6796.136476281216,0.5,-25.6,86.0,1.055,0.059
7016.438918523368,0.5,-25.3,87.0,1.055,0.062
7243.882648499695,0.5,-25.0,85.0,1.07,0.0645
7478.69915701885,0.5,-24.8,84.0,1.055,0.063
7721.127438857462,0.5,-24.5,82.0,1.055,0.0675
7971.414236007531,0.5,-24.2,88.0,1.055,0.068
8229.814288808882,0.5,-23.9,85.0,1.055,0.07
8496.590595222322,0.5,-23.6,85.0,1.055,0.072
8772.014678507272,0.5,-23.3,85.0,1.055,0.074
9056.366863576486,0.5,-23.0,85.0,1.055,0.0765
9349.936562308982,0.5,-22.8,85.0,1.055,0.0805
9653.022568111643,0.5,-22.5,85.0,1.07,0.083
9965.933360029296,0.5,-22.1,85.0,1.055,0.0845
10288.987416712731,0.5,-21.9,86.0,1.055,0.086
10622.513540564334,0.5,-21.5,85.0,1.055,0.0905
10966.851192391063,0.5,-21.2,86.0,1.055,0.0925
11322.350836905562,0.5,-20.9,85.0,1.055,0.091
11689.374299426969,0.5,-20.7,84.0,1.055,0.0985
12068.29513414445,0.5,-20.4,86.0,1.07,0.1015
12459.49900431833,0.5,-20.1,84.0,1.055,0.1055
12863.384074805752,0.5,-19.7,86.0,1.055,0.1095
13280.36141731038,0.5,-19.4,83.0,1.055,0.1095
13710.855428768611,0.5,-19.2,83.0,1.055,0.116
14155.304263298138,0.5,-18.9,83.0,1.055,0.119
14614.16027814846,0.5,-18.5,83.0,1.07,0.125
15087.890494107283,0.5,-18.2,83.0,1.055,0.127
15576.977070831355,0.5,-17.9,80.0,1.055,0.1285
16081.917797585551,0.5,-17.6,81.0,1.055,0.1375
16603.226599889687,0.5,-17.2,80.0,1.055,0.1385
17141.43406258867,0.5,-16.9,80.0,1.07,0.1495
