freq,vin,amp,pha,v1,v2
5099.999999999999,0.5,0.0,-2.0,1.055,1.08
5265.320761193682,0.5,0.1,-3.0,1.07,1.095
5436.000532991613,0.5,0.0,-2.0,1.055,1.08
5612.213032200132,0.5,0.1,-1.0,1.055,1.08
5794.137606801002,0.5,0.0,0.0,1.055,1.08
5981.959418490661,0.5,0.0,-4.0,1.07,1.065
6175.869631136662,0.5,0.1,-2.0,1.07,1.08
6376.065605343028,0.5,0.0,-1.0,1.055,1.08
6582.751099322671,0.5,0.0,-2.0,1.055,1.08
6796.136476281216,0.5,0.1,-2.0,1.055,1.08
7016.438918523368,0.5,0.0,-2.0,1.055,1.08
7243.882648499695,0.5,0.0,-1.0,1.055,1.095
7478.69915701885,0.5,0.0,-4.0,1.055,1.08
7721.127438857462,0.5,0.0,-3.0,1.055,1.065
7971.414236007531,0.5,0.0,-2.0,1.07,1.08
8229.814288808882,0.5,0.0,-2.0,1.085,1.08
8496.590595222322,0.5,0.0,-3.0,1.055,1.08
8772.014678507272,0.5,0.0,-2.0,1.055,1.08
9056.366863576486,0.5,-0.0,-5.0,1.055,1.065
9349.936562308982,0.5,0.0,-3.0,1.07,1.065
9653.022568111643,0.5,0.0,-3.0,1.055,1.08
9965.933360029296,0.5,0.1,-3.0,1.055,1.065
10288.987416712731,0.5,-0.0,-5.0,1.055,1.065
10622.513540564334,0.5,0.0,-3.0,1.055,1.095
10966.851192391063,0.5,0.0,-5.0,1.055,1.095
11322.350836905562,0.5,0.0,-5.0,1.055,1.08
11689.374299426969,0.5,-0.0,-5.0,1.055,1.065
12068.29513414445,0.5,-0.0,-6.0,1.055,1.065
12459.49900431833,0.5,-0.0,-6.0,1.055,1.065
12863.384074805752,0.5,-0.0,-5.0,1.055,1.065
13280.36141731038,0.5,-0.0,-6.0,1.055,1.065
13710.855428768611,0.5,0.0,-5.0,1.055,1.065
14155.304263298138,0.5,-0.1,-6.0,1.055,1.065
14614.16027814846,0.5,-0.0,-7.0,1.055,1.08
15087.890494107283,0.5,-0.0,-8.0,1.055,1.065
15576.977070831355,0.5,-0.1,-8.0,1.055,1.065
16081.917797585551,0.5,-0.1,-9.0,1.07,1.065
16603.226599889687,0.5,-0.0,-10.0,1.055,1.065
17141.43406258867,0.5,-0.0,-9.0,1.055,1.065
17697.087969878572,0.5,-0.0,-9.0,1.055,1.065
18270.75386283777,0.5,-0.1,-9.0,1.055,1.065
18863.015615031258,0.5,-0.1,-9.0,1.055,1.065
19474.476026773475,0.5,-0.1,-11.0,1.055,1.065
20105.757438654717,0.5,-0.1,-12.0,1.055,1.065
20757.502364955497,0.5,-0.1,-12.0,1.07,1.065
21430.374147593564,0.5,-0.1,-13.0,1.07,1.065
22125.057631269174,0.5,-0.1,-12.0,1.055,1.065
22842.25986049575,0.5,-0.1,-11.0,1.055,1.045
23582.710799225377,0.5,-0.2,-11.0,1.07,1.065
24347.16407380154,0.5,-0.2,-13.0,1.07,1.045
