freq,vin,amp,pha,v1,v2
100.0,10.0,-20.5,8.0,9.375,0.877
120.12923283957977,10.0,-20.5,10.0,9.325,0.8765
144.31032582625957,10.0,-20.4,11.0,9.26,0.8765
173.35888732338358,10.0,-20.3,14.0,9.185,0.8795
208.254701400812,10.0,-20.2,16.0,9.115,0.885
250.17477514515306,10.0,-20.0,19.0,9.03,0.8945
300.5330381400158,10.0,-19.8,23.0,8.955,0.9125
361.0280331470826,10.0,-19.5,27.0,8.88,0.94
433.7002065554137,10.0,-19.1,29.0,8.72,0.982
521.0007309586913,10.0,-18.5,35.0,8.74,1.0395
625.8741811892789,10.0,-17.8,38.0,8.71,1.1185
751.8578524036815,10.0,-17.0,43.0,8.65,1.2235
903.2010701366826,10.0,-16.1,45.0,8.65,1.3595
1085.0085165540706,10.0,-15.0,49.0,8.615,1.536
1303.41240718051,10.0,-13.8,52.0,8.57,1.746
1565.7793254818464,10.0,-12.6,54.0,8.66,2.0065
1880.958691662087,10.0,-11.3,55.0,8.715,2.3395
2259.5812463230595,10.0,-10.0,54.0,8.785,2.747
2714.4176165949066,10.0,-8.7,53.0,8.875,3.245
3260.8090588778673,10.0,-7.5,51.0,-1,3.79
3917.184906793499,10.0,-6.3,46.0,9.005,4.38
4705.684177438839,10.0,-5.3,44.0,9.215,5.005
5652.902302210761,10.0,-4.3,40.0,9.325,5.645
6790.788168816731,10.0,-3.5,35.0,9.295,6.26
8157.721730960486,10.0,-2.9,29.0,9.51,6.815
9799.80853259051,10.0,-2.4,27.0,9.555,7.19
11772.434809948647,10.0,-2.1,21.0,9.645,7.56
14142.135623730952,10.0,-1.9,17.0,9.68,7.69
16988.839031920914,10.0,-1.7,13.0,9.62,7.975
20408.561997397683,10.0,-1.5,10.0,9.61,8.14
24516.648961063856,10.0,-1.4,8.0,9.715,8.275
29451.662314898756,10.0,-1.3,4.0,9.76,8.365
35380.05599739149,10.0,-1.3,1.0,9.76,8.39
42501.789847880136,10.0,-1.3,-2.0,9.765,8.395
51057.07408734871,10.0,-1.3,-4.0,9.76,8.385
61334.47141146788,10.0,-1.4,-8.0,9.755,8.335
73680.62997280774,10.0,-1.5,-11.0,9.715,8.23
88511.97553770342,10.0,-1.6,-14.0,9.61,8.07
106328.75718459963,10.0,-1.8,-17.0,9.69,7.83
127731.92029371909,10.0,-2.1,-21.0,9.64,7.525
153443.37594010794,10.0,-2.5,-26.0,9.465,7.13
184330.350360004,10.0,-3.1,-28.0,9.475,6.65
221434.6357779824,10.0,-3.7,-32.0,9.385,6.1
266007.72920120734,10.0,-4.5,-36.0,9.175,5.485
319553.0443833972,10.0,-5.5,-38.0,9.175,4.87
383876.6207332969,10.0,-6.4,-39.0,9.07,4.325
461148.0395374129,10.0,-7.2,-41.0,9.03,3.91
553973.602151056,10.0,-8.3,-43.0,8.83,3.43
665484.2383978495,10.0,-9.4,-42.0,8.895,3.0
799441.1102556568,10.0,-10.5,-40.0,8.865,2.65
960362.4727543376,10.0,-11.4,-39.0,8.84,2.385
1153676.0709990042,10.0,-12.2,-36.0,8.815,2.175
1385902.2135449094,10.0,-12.9,-35.0,8.8,2.0
1664873.6970382507,10.0,-13.6,-32.0,8.79,1.867
2000000.0000000002,10.0,-14.1,-32.0,8.765,1.757
