freq,vin,amp,pha,v1,v2
100.0,10.0,-0.2,-2.0,9.36,9.18
120.12923283957977,10.0,-0.2,-2.0,9.315,9.13
144.31032582625957,10.0,-0.2,-3.0,9.16,9.055
173.35888732338358,10.0,-0.2,-3.0,9.18,8.965
208.254701400812,10.0,-0.2,-3.0,9.105,8.855
250.17477514515306,10.0,-0.3,-3.0,9.025,8.765
300.5330381400158,10.0,-0.3,-4.0,8.945,8.655
361.0280331470826,10.0,-0.3,-4.0,8.875,8.555
433.7002065554137,10.0,-0.4,-5.0,8.815,8.46
521.0007309586913,10.0,-0.4,-5.0,8.755,8.36
625.8741811892789,10.0,-0.5,-8.0,8.7,8.27
751.8578524036815,10.0,-0.5,-9.0,8.655,8.195
903.2010701366826,10.0,-0.6,-10.0,8.64,8.115
1085.0085165540706,10.0,-0.7,-11.0,8.625,8.03
1303.41240718051,10.0,-0.8,-12.0,8.63,7.95
1565.7793254818464,10.0,-0.9,-14.0,8.66,7.885
1880.958691662087,10.0,-1.1,-16.0,8.715,7.845
2259.5812463230595,10.0,-1.2,-19.0,8.78,7.81
2714.4176165949066,10.0,-1.3,-22.0,8.87,7.795
3260.8090588778673,10.0,-1.5,-25.0,8.98,7.81
3917.184906793499,10.0,-1.6,-29.0,9.085,7.84
4705.684177438839,10.0,-1.8,-35.0,9.205,7.61
5652.902302210761,10.0,-1.9,-41.0,9.315,7.58
6790.788168816731,10.0,-1.9,-49.0,9.295,7.64
8157.721730960486,10.0,-0.9,-52.0,9.5,8.77
9799.80853259051,10.0,-1.2,-78.0,9.455,8.52
11772.434809948647,10.0,-1.9,-101.0,9.635,7.85
14142.135623730952,10.0,-2.8,-126.0,9.67,7.105
16988.839031920914,10.0,-6.0,-142.0,9.69,4.805
20408.561997397683,10.0,-9.8,-161.0,9.62,3.11
24516.648961063856,10.0,-13.8,-174.0,9.71,1.97
29451.662314898756,10.0,-17.8,177.0,9.72,1.237
35380.05599739149,10.0,-21.8,170.0,9.725,0.7875
42501.789847880136,10.0,-25.9,163.0,9.765,0.496
51057.07408734871,10.0,-30.0,158.0,9.73,0.309
61334.47141146788,10.0,-34.2,151.0,9.725,0.19025
73680.62997280774,10.0,-38.7,143.0,9.72,0.1139
88511.97553770342,10.0,-43.7,132.0,9.715,0.06385
106328.75718459963,10.0,-49.1,111.0,9.61,0.03485
127731.92029371909,10.0,-53.2,74.0,9.66,0.0219
153443.37594010794,10.0,-53.3,36.0,9.56,0.02135
184330.350360004,10.0,-51.9,13.0,9.5,0.02485
221434.6357779824,10.0,-50.8,1.0,9.31,0.0276
266007.72920120734,10.0,-50.1,-1.0,9.305,0.0302
319553.0443833972,10.0,-48.8,-3.0,9.19,0.0336
383876.6207332969,10.0,-45.4,-16.0,9.09,0.0499
461148.0395374129,10.0,-49.2,-51.0,9.06,0.03335
553973.602151056,10.0,-51.6,-43.0,8.98,0.0251
665484.2383978495,10.0,-52.6,-37.0,8.92,0.0233
799441.1102556568,10.0,-51.5,-25.0,8.87,0.0259
960362.4727543376,10.0,-51.2,-28.0,8.855,0.0265
1153676.0709990042,10.0,-50.8,-28.0,8.795,0.0286
1385902.2135449094,10.0,-50.2,-25.0,8.805,0.0296
1664873.6970382507,10.0,-49.3,-28.0,8.79,0.03265
2000000.0000000002,10.0,-48.0,-29.0,8.775,0.0384
