freq,vin,amp,pha,v1,v2
100.0,3.0,-0.7,-17.0,2.789,2.59
113.12165687240228,3.0,-0.9,-19.0,2.786,2.535
127.96509253557505,3.0,-1.1,-22.0,2.782,2.475
144.75623289454526,3.0,-1.3,-26.0,2.7425,2.39
163.75064907638304,3.0,-1.6,-27.0,2.7595,2.305
185.2374473745174,3.0,-2.0,-30.0,2.7415,2.195
209.54366961819832,3.0,-2.4,-35.0,2.7315,2.075
237.03927094333858,3.0,-2.9,-38.0,2.716,1.958
268.14275072936715,3.0,-3.5,-40.0,2.701,1.8175
303.3275224082957,3.0,-4.2,-43.0,2.6545,1.6595
343.129119098271,3.0,-5.0,-46.0,2.666,1.5055
388.1533447356427,3.0,-5.9,-49.0,2.649,1.3495
439.0854947706065,3.0,-6.9,-52.0,2.634,1.1915
496.7007867708953,3.0,-8.2,-53.0,2.61,1.0215
561.8761596934942,3.0,-9.7,-54.0,2.6045,0.8515
635.6036214163056,3.0,-11.4,-54.0,2.564,0.6965
719.0053476871153,3.0,-13.7,-50.0,2.582,0.532
813.3507623048415,3.0,-16.4,-41.0,2.5665,0.3905
920.0758585035511,3.0,-19.0,-21.0,2.564,0.289
1040.8050556221967,3.0,-19.4,12.0,2.5625,0.276
1177.3759237315558,3.0,-17.0,37.0,2.561,0.365
1331.8671525418874,3.0,-14.2,49.0,2.5625,0.5035
1506.630190294667,3.0,-11.8,52.0,2.5655,0.6645
1704.3250342011547,3.0,-9.8,53.0,2.582,0.8225
1927.960717179483,3.0,-8.3,51.0,2.564,1.003
2180.941107122481,3.0,-6.8,51.0,2.6085,1.1745
2467.116715788262,3.0,-5.8,48.0,2.628,1.3365
2790.843305875675,3.0,-4.9,44.0,2.6465,1.5105
3157.0481883190896,3.0,-4.1,41.0,2.6685,1.6695
3571.305218886713,3.0,-3.4,38.0,2.695,1.8085
4039.919635575223,3.0,-2.8,34.0,2.695,1.9635
4570.024028076208,3.0,-2.3,31.0,2.7425,2.081
5169.686900026701,3.0,-1.9,28.0,2.775,2.1895
5848.035476425728,3.0,-1.6,25.0,2.7985,2.313
6615.3946254186685,3.0,-1.4,22.0,2.8235,2.4
7483.444008921449,3.0,-1.2,19.0,2.8445,2.475
8465.395854010467,3.0,-1.1,16.0,2.835,2.499
9576.196050864288,3.0,-1.0,15.0,2.8765,2.5445
10832.751638087238,3.0,-0.9,13.0,2.89,2.586
12254.18813787656,3.0,-0.8,11.0,2.887,2.6435
13862.140657827344,3.0,-0.7,9.0,2.9025,2.665
15681.083190117215,3.0,-0.7,8.0,2.904,2.6705
17738.70112020035,3.0,-0.7,5.0,2.8995,2.688
20066.312614814018,3.0,-0.6,4.0,2.8855,2.688
22699.34530307344,3.0,-0.6,3.0,2.8855,2.685
25677.875506024557,3.0,-0.6,0.0,2.8455,2.6785
29047.238222047672,3.0,-0.6,-1.0,2.8395,2.673
32858.71715245405,3.0,-0.6,0.0,2.8595,2.661
37170.325269872264,3.0,-0.7,-2.0,2.8425,2.625
42047.687810140655,3.0,-0.7,-4.0,2.8365,2.625
47565.041127366334,3.0,-0.7,-5.0,2.832,2.5875
53806.362615316255,3.0,-0.7,-9.0,2.795,2.585
60866.6488932186,3.0,-0.8,-10.0,2.818,2.5435
68853.36171071658,3.0,-0.9,-12.0,2.809,2.5405
77888.06357951066,3.0,-0.9,-13.0,2.804,2.515
