freq,vin,amp,pha,v1,v2
100.0,1.5,-20.7,9.0,1.401,0.12805
113.12165687240228,1.5,-20.6,12.0,1.4005,0.1312
127.96509253557505,1.5,-20.6,11.0,1.382,0.13185
144.75623289454526,1.5,-20.6,13.0,1.372,0.1294
163.75064907638304,1.5,-20.5,14.0,1.3855,0.13185
185.2374473745174,1.5,-20.5,16.0,1.386,0.13165
209.54366961819832,1.5,-20.4,16.0,1.3775,0.13145
237.03927094333858,1.5,-20.3,18.0,1.379,0.13295
268.14275072936715,1.5,-20.1,22.0,1.3645,0.13235
303.3275224082957,1.5,-20.0,24.0,1.3595,0.1354
343.129119098271,1.5,-19.7,26.0,1.34,0.13995
388.1533447356427,1.5,-19.3,28.0,1.334,0.14415
439.0854947706065,1.5,-19.0,31.0,1.3265,0.1465
496.7007867708953,1.5,-18.7,34.0,1.3275,0.1539
561.8761596934942,1.5,-18.3,36.0,1.31,0.1594
635.6036214163056,1.5,-17.8,39.0,1.305,0.166
719.0053476871153,1.5,-17.2,42.0,1.301,0.17875
813.3507623048415,1.5,-16.6,44.0,1.2955,0.1896
920.0758585035511,1.5,-16.0,46.0,1.294,0.2054
1040.8050556221967,1.5,-15.2,49.0,1.2895,0.2237
1177.3759237315558,1.5,-14.4,50.0,1.2965,0.2466
1331.8671525418874,1.5,-13.6,51.0,1.2965,0.2689
1506.630190294667,1.5,-12.7,53.0,1.302,0.29995
1704.3250342011547,1.5,-11.9,53.0,1.305,0.331
1927.960717179483,1.5,-10.9,54.0,1.304,0.3725
2180.941107122481,1.5,-10.0,53.0,1.3125,0.4125
2467.116715788262,1.5,-9.1,52.0,-1,0.4595
2790.843305875675,1.5,-8.2,51.0,1.333,0.515
3157.0481883190896,1.5,-7.3,50.0,1.3455,0.573
3571.305218886713,1.5,-6.4,46.0,1.3585,0.644
4039.919635575223,1.5,-5.6,43.0,1.3645,0.709
4570.024028076208,1.5,-4.8,41.0,1.3755,0.776
5169.686900026701,1.5,-4.1,37.0,1.3895,0.8665
5848.035476425728,1.5,-3.4,33.0,1.406,0.9435
6615.3946254186685,1.5,-2.9,28.0,1.417,1.015
7483.444008921449,1.5,-2.3,24.0,1.4285,1.0745
8465.395854010467,1.5,-1.8,17.0,1.4325,1.1605
9576.196050864288,1.5,-1.5,12.0,1.4435,1.212
10832.751638087238,1.5,-1.2,5.0,1.451,1.249
12254.18813787656,1.5,-1.2,0.0,1.4545,1.269
13862.140657827344,1.5,-1.1,-6.0,1.4585,1.2765
15681.083190117215,1.5,-1.3,-13.0,1.4605,1.2555
17738.70112020035,1.5,-1.7,-21.0,1.4575,1.181
20066.312614814018,1.5,-2.2,-24.0,1.453,1.126
22699.34530307344,1.5,-2.6,-29.0,1.4505,1.079
25677.875506024557,1.5,-2.9,-35.0,1.4385,1.022
29047.238222047672,1.5,-3.5,-40.0,1.438,0.9595
