freq,vin,amp,pha,v1,v2
100.0,1.5,-0.6,-16.0,1.403,1.3105
113.12165687240228,1.5,-0.8,-18.0,1.3925,1.2855
127.96509253557505,1.5,-0.9,-22.0,1.4015,1.257
144.75623289454526,1.5,-1.1,-23.0,1.3735,1.22
163.75064907638304,1.5,-1.4,-26.0,1.3855,1.1645
185.2374473745174,1.5,-1.8,-30.0,1.3855,1.1315
209.54366961819832,1.5,-2.1,-34.0,1.3785,1.076
237.03927094333858,1.5,-2.7,-36.0,1.3805,1.0135
268.14275072936715,1.5,-3.2,-39.0,1.3655,0.9475
303.3275224082957,1.5,-3.8,-42.0,1.3605,0.873
343.129119098271,1.5,-4.5,-45.0,1.34,0.793
388.1533447356427,1.5,-5.5,-49.0,1.3325,0.7095
439.0854947706065,1.5,-6.5,-52.0,1.3265,0.626
496.7007867708953,1.5,-7.8,-53.0,1.319,0.536
561.8761596934942,1.5,-9.4,-55.0,1.321,0.451
635.6036214163056,1.5,-11.0,-55.0,1.305,0.368
719.0053476871153,1.5,-13.3,-53.0,1.3,0.2825
813.3507623048415,1.5,-15.9,-45.0,1.297,0.207
920.0758585035511,1.5,-18.8,-26.0,1.294,0.149
1040.8050556221967,1.5,-19.7,8.0,1.291,0.1332
1177.3759237315558,1.5,-17.4,34.0,1.2975,0.17425
1331.8671525418874,1.5,-14.5,46.0,1.2985,0.24385
1506.630190294667,1.5,-12.0,52.0,1.3015,0.32775
1704.3250342011547,1.5,-10.0,53.0,1.3085,0.411
1927.960717179483,1.5,-8.3,51.0,1.304,0.4985
2180.941107122481,1.5,-6.9,50.0,1.312,0.5895
2467.116715788262,1.5,-5.8,46.0,1.323,0.667
2790.843305875675,1.5,-4.9,44.0,1.333,0.7455
3157.0481883190896,1.5,-4.1,41.0,1.3455,0.8335
3571.305218886713,1.5,-3.4,38.0,1.363,0.9035
4039.919635575223,1.5,-2.9,34.0,1.3635,0.979
4570.024028076208,1.5,-2.4,31.0,1.3765,1.0395
5169.686900026701,1.5,-2.0,27.0,1.393,1.0995
5848.035476425728,1.5,-1.7,25.0,1.4055,1.1515
6615.3946254186685,1.5,-1.4,22.0,1.417,1.1855
7483.444008921449,1.5,-1.2,18.0,1.4225,1.236
8465.395854010467,1.5,-1.0,16.0,1.434,1.2695
9576.196050864288,1.5,-0.9,14.0,1.447,1.2925
10832.751638087238,1.5,-0.8,12.0,1.4505,1.312
12254.18813787656,1.5,-0.8,10.0,1.4555,1.3285
13862.140657827344,1.5,-0.7,9.0,1.4615,1.3255
15681.083190117215,1.5,-0.7,6.0,1.461,1.347
17738.70112020035,1.5,-0.6,5.0,1.458,1.347
20066.312614814018,1.5,-0.6,5.0,1.4585,1.3255
22699.34530307344,1.5,-0.6,2.0,1.4455,1.3255
25677.875506024557,1.5,-0.6,1.0,1.442,1.3255
29047.238222047672,1.5,-0.6,-1.0,1.4415,1.327
32858.71715245405,1.5,-0.6,-2.0,1.439,1.3345
37170.325269872264,1.5,-0.6,-3.0,1.4325,1.3285
42047.687810140655,1.5,-0.6,-4.0,1.4265,1.3035
47565.041127366334,1.5,-0.7,-6.0,1.424,1.313
53806.362615316255,1.5,-0.7,-9.0,1.42,1.3035
60866.6488932186,1.5,-0.8,-10.0,1.4165,1.293
68853.36171071658,1.5,-0.8,-12.0,1.416,1.2785
77888.06357951066,1.5,-0.9,-13.0,1.4145,1.2635
88108.26802697277,1.5,-1.0,-15.0,1.41,1.245
99669.53263368846,1.5,-1.2,-16.0,1.4075,1.224
112747.82671220807,1.5,-1.3,-19.0,1.396,1.198
127542.20966447474,1.5,-1.5,-23.0,1.397,1.167
144277.86078412703,1.5,-1.7,-25.0,1.3875,1.13
163209.50661906242,1.5,-2.0,-27.0,1.3825,1.0875
184625.2980607561,1.5,-2.4,-30.0,1.3765,1.042
208851.19617193894,1.5,-2.8,-32.0,1.3705,0.9895
236255.93350752804,1.5,-3.3,-36.0,1.3615,0.9335
267256.62644307676,1.5,-3.8,-38.0,1.3595,0.8725
302325.1239336952,1.5,-4.4,-40.0,1.3515,0.8115
341995.18933533895,1.5,-5.1,-42.0,1.35,0.7475
386870.62460004544,1.5,-5.8,-44.0,1.3355,0.69
437634.46050018206,1.5,-6.4,-43.0,1.333,0.6415
495059.35276240483,1.5,-7.0,-45.0,1.325,0.592
560019.3423466232,1.5,-7.8,-46.0,1.325,0.538
633503.158868431,1.5,-8.6,-48.0,1.3235,0.491
716629.2696509759,1.5,-9.4,-48.0,1.3185,0.448
810662.9034617778,1.5,-10.1,-46.0,1.318,0.412
917035.308045888,1.5,-10.8,-45.0,1.3125,0.378
1037365.5345664446,1.5,-11.4,-44.0,1.3025,0.352
1173485.080524815,1.5,-12.0,-42.0,1.301,0.3285
1327465.766240115,1.5,-12.5,-41.0,1.3045,0.3085
1501651.2691847486,1.5,-13.1,-40.0,1.297,0.287
1698692.7961472417,1.5,-13.5,-39.0,1.289,0.2725
1921589.4361738989,1.5,-14.0,-37.0,1.283,0.256
2173733.8084849673,1.5,-14.3,-35.0,1.2785,0.2465
2458963.700153767,1.5,-14.6,-36.0,1.2705,0.236
2781620.479504871,1.5,-14.9,-32.0,1.2565,0.2255
3146615.1743179713,1.5,-15.3,-31.0,1.2435,0.2165
3559503.2205869113,1.5,-15.5,-31.0,1.2205,0.205
4026569.0195544343,1.5,-15.7,-34.0,1.2055,0.1951
4554921.59003082,1.5,-16.0,-32.0,1.168,0.18475
5152602.771881634,1.5,-16.3,-34.0,1.1335,0.1753
5828709.627605831,1.5,-16.6,-31.0,1.087,0.1628
6593532.905028946,1.5,-16.8,-31.0,1.051,0.15185
7458713.668595767,1.5,-17.2,-33.0,0.999,0.1378
8437420.483283872,1.5,-17.5,-34.0,0.9295,0.1254
9544549.847982168,1.5,-17.8,-34.0,0.8715,0.1119
10796952.92904978,1.5,-18.1,-35.0,0.8025,0.1007
12213692.045074482,1.5,-18.5,-34.0,0.7345,0.08795
13816330.806681048,1.5,-18.9,-34.0,0.6695,0.0762
15629262.327489713,1.5,-19.2,-35.0,0.5945,0.0654
17680080.501790546,1.5,-19.4,-37.0,0.53,0.05745
20000000.000000004,1.5,-19.7,-38.0,0.4605,0.0479
