freq,vin,amp,pha,v1,v2
100.0,2.6,-29.3,-175.0,2.5705,0.08915
113.12165687240228,2.6,-29.3,-174.0,2.546,0.08925
127.96509253557505,2.6,-29.3,-174.0,2.552,0.08915
144.75623289454526,2.6,-29.3,-174.0,2.571,0.08915
163.75064907638304,2.6,-29.2,-172.0,2.5625,0.0894
185.2374473745174,2.6,-29.3,-173.0,2.5685,0.08975
209.54366961819832,2.6,-29.3,-175.0,2.585,0.0904
237.03927094333858,2.6,-29.3,-171.0,2.564,0.09015
268.14275072936715,2.6,-29.3,-172.0,2.5765,0.09055
303.3275224082957,2.6,-29.3,-171.0,2.575,0.08995
343.129119098271,2.6,-29.2,-169.0,2.58,0.09055
388.1533447356427,2.6,-29.2,-170.0,2.575,0.0907
439.0854947706065,2.6,-29.2,-169.0,2.575,0.0916
496.7007867708953,2.6,-29.1,-168.0,2.575,0.0916
561.8761596934942,2.6,-29.1,-163.0,2.575,0.09305
635.6036214163056,2.6,-29.0,-163.0,2.57,0.0929
719.0053476871153,2.6,-28.9,-163.0,2.57,0.094
813.3507623048415,2.6,-28.8,-160.0,2.58,0.09655
920.0758585035511,2.6,-28.7,-161.0,2.57,0.09615
1040.8050556221967,2.6,-28.5,-157.0,2.57,0.0988
1177.3759237315558,2.6,-28.3,-154.0,2.57,0.10125
1331.8671525418874,2.6,-28.1,-151.0,2.57,0.104
1506.630190294667,2.6,-27.9,-148.0,2.575,0.1064
1704.3250342011547,2.6,-27.5,-144.0,2.575,0.1107
1927.960717179483,2.6,-27.1,-144.0,2.58,0.1167
2180.941107122481,2.6,-26.7,-139.0,2.58,0.12215
2467.116715788262,2.6,-26.1,-130.0,2.575,0.13025
2790.843305875675,2.6,-25.6,-134.0,2.575,0.13785
3157.0481883190896,2.6,-24.9,-131.0,-1,0.14855
3571.305218886713,2.6,-24.2,-128.0,2.575,0.1608
4039.919635575223,2.6,-23.4,9.9e+37,2.58,0.1802
4570.024028076208,2.6,-22.7,-121.0,2.57,0.1875
5169.686900026701,2.6,-21.8,-117.0,2.57,0.20775
5848.035476425728,2.6,-20.9,-115.0,2.575,0.2315
6615.3946254186685,2.6,-19.9,-115.0,2.57,0.25355
7483.444008921449,2.6,-19.0,-110.0,2.58,0.28885
8465.395854010467,2.6,-18.0,-111.0,2.57,0.33015
9576.196050864288,2.6,-17.0,-109.0,2.565,0.36
10832.751638087238,2.6,-16.0,-108.0,2.565,0.4
12254.18813787656,2.6,-15.0,-107.0,2.565,0.45
13862.140657827344,2.6,-14.0,-108.0,2.565,0.5155
15681.083190117215,2.6,-12.9,-107.0,2.565,0.5845
17738.70112020035,2.6,-11.9,-105.0,2.565,0.6465
20066.312614814018,2.6,-10.9,-105.0,2.57,0.7335
22699.34530307344,2.6,-9.9,-108.0,2.575,0.82
25677.875506024557,2.6,-8.8,-107.0,2.57,0.931
29047.238222047672,2.6,-7.8,-109.0,2.575,1.05
32858.71715245405,2.6,-6.7,-110.0,2.57,1.184
37170.325269872264,2.6,-5.7,-111.0,2.565,1.3165
42047.687810140655,2.6,-4.7,-114.0,2.565,1.4835
47565.041127366334,2.6,-3.7,-114.0,2.57,1.653
53806.362615316255,2.6,-2.7,-118.0,2.575,1.8535
60866.6488932186,2.6,-1.7,-120.0,2.575,2.096
68853.36171071658,2.6,-0.8,-124.0,2.575,2.343
77888.06357951066,2.6,0.1,-128.0,2.57,2.556
88108.26802697277,2.6,0.9,-131.0,2.575,2.814
