freq,vin,amp,pha,v1,v2
100.0,0.1,-28.0,178.0,0.09845,0.00399
110.72471165797398,0.1,-27.9,178.0,0.0988,0.00399
122.59961771741493,0.1,-27.9,178.0,0.0991,0.00404
135.7480732113862,0.1,-27.9,177.0,0.09915,0.004065
150.30666264456283,0.1,-27.9,177.0,0.0989,0.004075
166.42661881591587,0.1,-27.9,177.0,0.09925,0.004045
184.27539380603852,0.1,-27.9,177.0,0.09925,0.00408
204.03839844833243,0.1,-27.9,177.0,0.09925,0.004045
225.92092835346418,0.1,-28.0,176.0,0.09845,0.004045
250.1502964943912,0.1,-28.0,177.0,0.09845,0.00411
276.97819450498196,0.1,-27.9,177.0,0.0988,0.004085
306.6833072211039,0.1,-27.9,178.0,0.0988,0.00408
339.57420762370583,0.1,-27.9,177.0,0.09915,0.004065
375.99256225619825,0.1,-28.0,177.0,0.09915,0.004085
416.3166804136043,0.1,-27.9,177.0,0.0993,0.004075
460.96544397201285,0.1,-28.0,176.0,0.0993,0.0041
510.40265868091086,0.1,-28.0,176.0,0.09935,0.004075
565.1418721190718,0.1,-28.1,176.0,0.09845,0.004105
625.7517083623189,0.1,-28.1,176.0,0.09845,0.00408
692.8617747790246,0.1,-28.0,176.0,0.09865,0.00406
767.1692023123961,0.1,-28.1,176.0,0.0988,0.004045
849.4458871891798,0.1,-28.1,176.0,0.0991,0.004055
940.5465092807393,0.1,-28.0,176.0,0.09915,0.004075
1041.4174104102392,0.1,-28.0,176.0,0.09865,0.004105
1153.106424832677,0.1,-28.0,178.0,0.0987,0.004055
1276.773764005554,0.1,-28.0,176.0,0.0989,0.004135
1413.7040687198125,0.1,-28.0,176.0,0.09925,0.004085
1565.3197537870606,0.1,-28.0,177.0,0.09845,0.00411
1733.195783906031,0.1,-28.1,178.0,0.09925,0.004135
1919.076034198115,0.1,-28.0,176.0,0.09845,0.004125
2124.891405363147,0.1,-28.0,176.0,0.09845,0.004225
2352.7798816334184,0.1,-28.0,176.0,0.09875,0.004185
2605.1087398854243,0.1,-28.0,176.0,0.0987,0.004225
2884.4991406148156,0.1,-28.0,176.0,0.0988,0.004235
3193.8533562224957,0.1,-28.1,175.0,0.09975,0.004165
3536.3849194558866,0.1,-28.0,172.0,0.0991,0.004185
3915.652005183606,0.1,-28.0,172.0,0.09935,0.00412
4335.594392269225,0.1,-27.9,174.0,0.09865,0.00419
4800.574389499394,0.1,-28.0,172.0,0.0987,0.004135
5315.422150699754,0.1,-28.0,169.0,0.0987,0.00424
5885.485849766383,0.1,-28.1,172.0,0.099,0.00422
6516.687236824687,0.1,-28.0,172.0,0.09895,0.004355
7215.5831526261345,0.1,-28.0,170.0,0.09965,0.004145
7989.433640186645,0.1,-28.0,173.0,0.09975,0.004275
8846.277361201837,0.1,-28.0,174.0,0.09955,0.004685
9795.015100655364,0.1,-28.0,175.0,0.09965,0.004375
10845.502227055686,0.1,-28.0,168.0,0.099,0.00445
12008.651068766556,0.1,-28.0,165.0,0.0762,0.00516
13296.54426990398,0.1,-27.8,163.0,0.099,0.00424
14722.560303326045,0.1,-27.9,157.0,0.0988,0.00473
16301.512444529104,0.1,-27.8,169.0,0.09915,0.00512
18049.802650093636,0.1,-27.9,156.0,0.09915,0.004675
19985.591939149523,0.1,-27.8,154.0,0.0864,0.00466
22128.989047762603,0.1,-27.9,158.0,0.0997,0.004845
24502.259315959836,0.1,-27.9,164.0,0.09965,0.004795
27130.0559772856,0.1,-27.9,163.0,0.0998,0.00528
30039.676253496415,0.1,-27.9,152.0,0.09985,0.005015
33261.34491467279,0.1,-27.8,156.0,0.0989,0.00497
36828.52825033564,0.1,-27.8,155.0,0.09905,0.005035
40778.28171305972,0.1,-27.5,141.0,0.09975,0.00487
45151.63484586171,0.1,-27.8,153.0,0.0993,0.00469
49994.01749194168,0.1,-27.8,141.0,0.09915,0.005005
55355.73171418962,0.1,-27.9,142.0,0.09895,0.004605
61292.47432669812,0.1,-27.9,135.0,0.1,0.004875
67865.91546627422,0.1,-27.9,133.0,0.1001,0.00495
75144.3392140765,0.1,-27.7,133.0,0.0998,0.00473
83203.3529220761,0.1,-27.7,129.0,0.09975,0.005075
92126.67261273542,0.1,-27.9,123.0,0.10005,0.00506
102006.99261053698,0.1,-27.6,118.0,0.09895,0.004895
112946.9484389879,0.1,-27.6,113.0,0.09945,0.005235
125060.18298555017,0.1,-27.4,113.0,0.0994,0.005115
138472.5270096851,0.1,-27.4,103.0,0.09915,0.00495
153323.30625698395,0.1,-27.5,101.0,0.0996,0.004855
169766.78875751788,0.1,-27.2,94.0,0.09915,0.005125
187973.78734276348,0.1,-27.2,88.0,0.0999,0.005135
208133.43402784847,0.1,-27.2,72.0,0.1,0.005455
230455.14469117473,0.1,-26.9,74.0,0.0997,0.005255
255170.79446027,0.1,-26.8,73.0,0.1001,0.005455
282537.126401496,0.1,-26.5,52.0,0.0996,0.005145
312838.41853478196,0.1,-26.4,46.0,0.09875,0.005155
346389.4368780032,0.1,-26.5,41.0,0.09935,0.005435
383538.70519684884,0.1,-26.3,40.0,0.099,0.005775
424672.12542593776,0.1,-26.6,26.0,0.09845,0.005525
470216.9863696602,0.1,-26.3,12.0,0.0987,0.005685
520646.4023246211,0.1,-26.3,7.0,0.0989,0.005855
576484.2277315519,0.1,-26.5,-3.0,0.0989,0.00584
638310.4989094603,0.1,-26.8,-19.0,0.09865,0.005425
706767.459400075,0.1,-26.8,-23.0,0.0993,0.0054
782566.2315131215,0.1,-27.1,159.0,0.09865,0.00536
866494.203375577,0.1,-28.1,-35.0,0.09855,0.005255
959423.2082206663,0.1,-27.9,-72.0,0.09765,0.00509
1062318.5808820184,0.1,-28.3,-37.0,0.0972,0.00504
1176249.185570696,0.1,-29.0,251.0,0.0983,0.004655
1302398.5191024204,0.1,-29.0,-88.0,0.0985,0.004835
1442077.0049138814,0.1,-30.3,236.0,0.0981,0.00464
1596735.6055768426,0.1,-31.8,250.0,0.0971,0.003745
1767980.8952151637,0.1,-31.8,3.0,0.0131,0.002495
1957591.7483950572,0.1,-33.7,-123.0,0.0966,0.003315
2167537.818850719,0.1,-32.2,9.9e+37,0.0963,0.002775
2400000.000000002,0.1,-35.2,-164.0,0.09625,0.00343
