freq,vin,amp,pha,v1,v2
100.0,1.6,0.1,2.0,1.471,1.4905
113.12165687240228,1.6,0.1,2.0,1.467,1.4915
127.96509253557505,1.6,0.1,2.0,1.458,1.4875
144.75623289454526,1.6,0.1,2.0,1.4395,1.4675
163.75064907638304,1.6,0.1,2.0,1.4425,1.4765
185.2374473745174,1.6,0.1,2.0,1.447,1.466
209.54366961819832,1.6,0.1,3.0,1.44,1.462
237.03927094333858,1.6,0.1,3.0,1.4325,1.454
268.14275072936715,1.6,0.1,3.0,1.423,1.4405
303.3275224082957,1.6,0.1,4.0,1.4095,1.419
343.129119098271,1.6,0.1,4.0,1.4045,1.4265
388.1533447356427,1.6,0.1,4.0,1.3955,1.4135
439.0854947706065,1.6,0.1,4.0,1.3735,1.408
496.7007867708953,1.6,0.1,5.0,1.3825,1.4
561.8761596934942,1.6,0.1,6.0,1.371,1.3925
635.6036214163056,1.6,0.1,8.0,1.3635,1.3695
719.0053476871153,1.6,0.1,6.0,1.3465,1.3805
813.3507623048415,1.6,0.1,9.0,1.356,1.3765
920.0758585035511,1.6,0.1,10.0,1.3525,1.3735
1040.8050556221967,1.6,0.1,11.0,1.3485,1.371
1177.3759237315558,1.6,0.1,13.0,1.35,1.371
1331.8671525418874,1.6,0.2,14.0,1.3425,1.3725
1506.630190294667,1.6,0.2,16.0,1.3385,1.375
1704.3250342011547,1.6,0.2,17.0,1.342,1.3795
1927.960717179483,1.6,0.3,22.0,1.331,1.3695
2180.941107122481,1.6,0.3,23.0,1.328,1.3885
2467.116715788262,1.6,0.3,26.0,1.348,1.402
2790.843305875675,1.6,0.4,29.0,1.3505,1.413
3157.0481883190896,1.6,0.5,34.0,1.349,1.424
3571.305218886713,1.6,0.5,39.0,1.35,1.42
4039.919635575223,1.6,0.6,42.0,1.357,1.45
4570.024028076208,1.6,0.7,49.0,1.351,1.4635
5169.686900026701,1.6,0.8,54.0,1.351,1.477
5848.035476425728,1.6,1.0,61.0,1.3295,1.4905
6615.3946254186685,1.6,1.2,69.0,1.311,1.5015
7483.444008921449,1.6,1.5,79.0,1.2775,1.5125
8465.395854010467,1.6,1.8,90.0,1.2375,1.523
9576.196050864288,1.6,2.3,102.0,1.1815,1.5175
10832.751638087238,1.6,3.0,119.0,1.089,1.5205
12254.18813787656,1.6,4.2,135.0,0.949,1.5395
13862.140657827344,1.6,6.1,151.0,0.769,1.5405
15681.083190117215,1.6,8.5,169.0,0.5845,1.5405
17738.70112020035,1.6,11.3,-177.0,0.423,1.5395
20066.312614814018,1.6,14.4,-165.0,0.296,1.538
22699.34530307344,1.6,17.6,-155.0,0.2035,1.52
25677.875506024557,1.6,20.9,-148.0,0.13915,1.518
29047.238222047672,1.6,24.2,-141.0,0.0949,1.527
32858.71715245405,1.6,27.5,-136.0,0.06465,1.5165
37170.325269872264,1.6,30.8,-133.0,0.0446,1.511
42047.687810140655,1.6,34.1,-129.0,0.0232,0.9295
47565.041127366334,1.6,37.4,-124.0,0.012095,0.98
53806.362615316255,1.6,40.8,-122.0,0.013125,1.11
60866.6488932186,1.6,44.1,-115.0,0.00793,1.092
68853.36171071658,1.6,47.7,-114.0,0.004545,1.031
77888.06357951066,1.6,51.1,-115.0,0.00422,0.879
88108.26802697277,1.6,54.8,-97.0,0.001725,0.9235
99669.53263368846,1.6,58.3,245.0,0.0009,0.5775
112747.82671220807,1.6,62.5,-46.0,0.000705,0.355
127542.20966447474,1.6,50.4,-385.0,0.0005,0.367
144277.86078412703,1.6,58.4,152.0,0.000675,0.33
163209.50661906242,1.6,48.7,670.0,0.00117,0.238
184625.2980607561,1.6,57.3,49.0,0.0005,0.043
208851.19617193894,1.6,53.3,1.0,0.000695,0.069
236255.93350752804,1.6,58.3,45.0,0.000795,0.125
267256.62644307676,1.6,52.3,104.0,0.0005,0.1665
302325.1239336952,1.6,59.3,-209.0,0.000745,0.1675
341995.18933533895,1.6,54.4,-11.0,0.00101,0.4205
386870.62460004544,1.6,59.1,65.0,0.0005,0.493
437634.46050018206,1.6,55.3,406.0,0.000995,0.8395
495059.35276240483,1.6,58.2,174.0,0.00087,0.111
560019.3423466232,1.6,57.7,77.0,0.00083,0.9
633503.158868431,1.6,50.7,-200.0,0.0005,0.5005
716629.2696509759,1.6,49.9,518.0,0.000905,0.636
810662.9034617778,1.6,59.6,468.0,0.00083,0.3425
917035.308045888,1.6,51.5,63.0,0.001205,0.5385
1037365.5345664446,1.6,57.0,-274.0,0.001055,0.354
1173485.080524815,1.6,57.1,136.0,0.001655,0.66
1327465.766240115,1.6,52.4,452.0,0.001355,0.7465
1501651.2691847486,1.6,54.7,469.0,0.001055,0.7265
1698692.7961472417,1.6,54.9,86.0,0.001475,0.2895
1921589.4361738989,1.6,53.6,92.0,0.002115,0.5235
2173733.8084849673,1.6,52.3,131.0,0.001415,0.7895
2458963.700153767,1.6,52.0,432.0,0.00207,0.779
2781620.479504871,1.6,50.6,440.0,0.002815,0.6765
3146615.1743179713,1.6,49.8,81.0,0.00337,0.9735
3559503.2205869113,1.6,48.7,83.0,0.00361,0.8045
4026569.0195544343,1.6,47.4,89.0,0.00415,0.874
4554921.59003082,1.6,45.8,453.0,0.005125,0.887
5152602.771881634,1.6,46.2,108.0,0.004215,0.7965
5828709.627605831,1.6,45.0,98.0,0.005365,0.895
6593532.905028946,1.6,43.2,97.0,0.006005,0.877
7458713.668595767,1.6,41.8,97.0,0.00732,0.9525
8437420.483283872,1.6,40.3,103.0,0.007865,0.784
9544549.847982168,1.6,38.7,109.0,0.00974,0.886
10796952.92904978,1.6,37.6,115.0,0.011065,0.839
12213692.045074482,1.6,36.1,120.0,0.012815,0.8245
