freq,vin,amp,pha,v1,v2
100.0,1.5,-29.6,86.0,1.384,0.04665
113.12165687240228,1.5,-28.5,86.0,1.3995,0.0526
127.96509253557505,1.5,-27.5,85.0,1.3855,0.0591
144.75623289454526,1.5,-26.5,85.0,1.3925,0.0663
163.75064907638304,1.5,-25.4,84.0,1.387,0.0741
185.2374473745174,1.5,-24.4,84.0,1.3755,0.0828
209.54366961819832,1.5,-23.4,83.0,1.3735,0.09285
237.03927094333858,1.5,-22.4,82.0,1.3615,0.10295
268.14275072936715,1.5,-21.5,81.0,1.3575,0.1142
303.3275224082957,1.5,-20.5,81.0,1.3535,0.12725
343.129119098271,1.5,-19.5,80.0,1.3465,0.14265
388.1533447356427,1.5,-18.6,80.0,1.3465,0.15565
439.0854947706065,1.5,-17.5,79.0,1.3295,0.17635
496.7007867708953,1.5,-16.6,78.0,1.326,0.19515
561.8761596934942,1.5,-15.5,77.0,1.3185,0.2187
635.6036214163056,1.5,-14.6,77.0,1.3125,0.24295
719.0053476871153,1.5,-13.6,77.0,1.307,0.27
813.3507623048415,1.5,-12.5,74.0,1.3035,0.30645
920.0758585035511,1.5,-11.6,72.0,1.3015,0.34035
1040.8050556221967,1.5,-10.6,70.0,1.29,0.3785
1177.3759237315558,1.5,-9.7,69.0,1.292,0.4225
1331.8671525418874,1.5,-8.8,67.0,1.2925,0.4635
1506.630190294667,1.5,-7.8,65.0,1.2945,0.5225
1704.3250342011547,1.5,-7.0,62.0,1.305,0.5845
1927.960717179483,1.5,-6.2,59.0,1.3135,0.641
2180.941107122481,1.5,-5.4,56.0,1.31,0.695
2467.116715788262,1.5,-4.7,53.0,1.32,0.77
2790.843305875675,1.5,-4.0,50.0,1.333,0.8275
3157.0481883190896,1.5,-3.3,45.0,1.3465,0.9115
3571.305218886713,1.5,-2.8,42.0,1.3605,0.976
4039.919635575223,1.5,-2.4,39.0,1.3635,1.021
4570.024028076208,1.5,-2.0,35.0,1.377,1.09
5169.686900026701,1.5,-1.6,31.0,1.391,1.1515
5848.035476425728,1.5,-1.3,28.0,1.4055,1.2065
6615.3946254186685,1.5,-1.1,26.0,1.4185,1.247
7483.444008921449,1.5,-0.8,23.0,1.423,1.2895
8465.395854010467,1.5,-0.7,19.0,1.434,1.3135
9576.196050864288,1.5,-0.6,17.0,1.4445,1.3415
10832.751638087238,1.5,-0.5,15.0,1.45,1.3635
12254.18813787656,1.5,-0.4,14.0,1.457,1.367
13862.140657827344,1.5,-0.4,11.0,1.4595,1.3945
15681.083190117215,1.5,-0.3,10.0,1.458,1.384
17738.70112020035,1.5,-0.3,8.0,1.4555,1.3895
20066.312614814018,1.5,-0.3,5.0,1.457,1.4075
22699.34530307344,1.5,-0.2,4.0,1.444,1.409
25677.875506024557,1.5,-0.2,4.0,1.441,1.4065
29047.238222047672,1.5,-0.2,2.0,1.4415,1.384
32858.71715245405,1.5,-0.2,1.0,1.437,1.387
37170.325269872264,1.5,-0.2,-1.0,1.4325,1.3945
42047.687810140655,1.5,-0.2,-2.0,1.4275,1.388
47565.041127366334,1.5,-0.2,-3.0,1.4225,1.366
53806.362615316255,1.5,-0.2,-5.0,1.4225,1.3755
60866.6488932186,1.5,-0.3,-6.0,1.4185,1.366
68853.36171071658,1.5,-0.3,-8.0,1.414,1.3385
77888.06357951066,1.5,-0.4,-10.0,1.413,1.348
88108.26802697277,1.5,-0.4,-11.0,1.412,1.33
99669.53263368846,1.5,-0.5,-12.0,1.4075,1.318
112747.82671220807,1.5,-0.6,-15.0,1.4065,1.299
127542.20966447474,1.5,-0.7,-16.0,1.3925,1.2755
144277.86078412703,1.5,-0.9,-18.0,1.3855,1.2405
163209.50661906242,1.5,-1.1,-20.0,1.3825,1.215
184625.2980607561,1.5,-1.3,-24.0,1.3775,1.177
208851.19617193894,1.5,-1.6,-26.0,1.37,1.1315
236255.93350752804,1.5,-2.0,-28.0,1.3625,1.0825
267256.62644307676,1.5,-2.4,-30.0,1.36,1.031
302325.1239336952,1.5,-2.8,-31.0,1.348,0.9735
341995.18933533895,1.5,-3.3,-34.0,1.3435,0.9145
386870.62460004544,1.5,-3.9,-36.0,1.338,0.848
437634.46050018206,1.5,-4.4,-37.0,1.334,0.7995
495059.35276240483,1.5,-5.0,-39.0,1.3285,0.743
560019.3423466232,1.5,-5.6,-40.0,1.32,0.692
633503.158868431,1.5,-6.4,-41.0,1.3235,0.6345
716629.2696509759,1.5,-7.1,-41.0,1.32,0.585
810662.9034617778,1.5,-7.8,-41.0,1.3135,0.5375
917035.308045888,1.5,-8.4,-40.0,1.307,0.499
1037365.5345664446,1.5,-9.0,-40.0,1.3095,0.4645
1173485.080524815,1.5,-9.5,-39.0,1.3025,0.434
1327465.766240115,1.5,-10.0,-38.0,1.2985,0.408
1501651.2691847486,1.5,-10.5,-37.0,1.298,0.386
1698692.7961472417,1.5,-10.9,-35.0,1.2915,0.3665
1921589.4361738989,1.5,-11.3,-34.0,1.2825,0.3515
2173733.8084849673,1.5,-11.6,-33.0,1.2695,0.3365
2458963.700153767,1.5,-11.9,-30.0,1.2705,0.3225
2781620.479504871,1.5,-12.2,-31.0,1.2525,0.3085
3146615.1743179713,1.5,-12.5,-31.0,1.2435,0.294
3559503.2205869113,1.5,-12.7,-30.0,1.224,0.281
4026569.0195544343,1.5,-13.0,-30.0,1.193,0.2675
4554921.59003082,1.5,-13.2,-30.0,1.1635,0.255
5152602.771881634,1.5,-13.5,-30.0,1.1285,0.238
5828709.627605831,1.5,-13.7,-31.0,1.0895,0.225
6593532.905028946,1.5,-14.1,-31.0,1.0395,0.2075
7458713.668595767,1.5,-14.3,-29.0,0.99,0.1905
8437420.483283872,1.5,-14.6,-30.0,0.9325,0.17265
9544549.847982168,1.5,-14.9,-30.0,0.87,0.1551
10796952.92904978,1.5,-15.3,-31.0,0.8015,0.1374
12213692.045074482,1.5,-15.6,-31.0,0.7365,0.122
13816330.806681048,1.5,-16.0,-31.0,0.67,0.1051
15629262.327489713,1.5,-16.2,-31.0,0.591,0.0916
17680080.501790546,1.5,-16.5,-33.0,0.5255,0.07835
20000000.000000004,1.5,-16.8,-32.0,0.4575,0.0659
