x-axis,D-
second,Volt
+3.1399500E-03,+1.7812500000E+00
+3.1404500E-03,+62.5000000E-03
+3.1409500E-03,+62.5000000E-03
+3.1414500E-03,+62.5000000E-03
+3.1419500E-03,+62.5000000E-03
+3.1424500E-03,+62.5000000E-03
+3.1429500E-03,+62.5000000E-03
+3.1434500E-03,+62.5000000E-03
+3.1439500E-03,+62.5000000E-03
+3.1444500E-03,+62.5000000E-03
+3.1449500E-03,+62.5000000E-03
+3.1454500E-03,+62.5000000E-03
+3.1459500E-03,+218.7500000E-03
+3.1464500E-03,-93.7500000E-03
+3.1469500E-03,+62.5000000E-03
+3.1474500E-03,+62.5000000E-03
+3.1479500E-03,+218.7500000E-03
+3.1484500E-03,-93.7500000E-03
+3.1489500E-03,+62.5000000E-03
+3.1494500E-03,-93.7500000E-03
+3.1499500E-03,+62.5000000E-03
+3.1504500E-03,-93.7500000E-03
+3.1509500E-03,+62.5000000E-03
+3.1514500E-03,+21.7812500000E+00
+3.1519500E-03,+13.3437500000E+00
+3.1524500E-03,+8.5000000000E+00
+3.1529500E-03,+5.6875000000E+00
+3.1534500E-03,+3.9687500000E+00
+3.1539500E-03,+3.3437500000E+00
+3.1544500E-03,+2.7187500000E+00
+3.1549500E-03,+2.2500000000E+00
+3.1554500E-03,+2.2500000000E+00
+3.1559500E-03,+2.0937500000E+00
+3.1564500E-03,+2.0937500000E+00
+3.1569500E-03,+1.9375000000E+00
+3.1574500E-03,+1.9375000000E+00
+3.1579500E-03,+1.9375000000E+00
+3.1584500E-03,+1.9375000000E+00
+3.1589500E-03,+2.0937500000E+00
+3.1594500E-03,+1.7812500000E+00
+3.1599500E-03,+1.9375000000E+00
+3.1604500E-03,+62.5000000E-03
+3.1609500E-03,+62.5000000E-03
+3.1614500E-03,+62.5000000E-03
+3.1619500E-03,+62.5000000E-03
+3.1624500E-03,-93.7500000E-03
+3.1629500E-03,+62.5000000E-03
+3.1634500E-03,+62.5000000E-03
+3.1639500E-03,+62.5000000E-03
+3.1644500E-03,+62.5000000E-03
+3.1649500E-03,-93.7500000E-03
+3.1654500E-03,+62.5000000E-03
+3.1659500E-03,+62.5000000E-03
+3.1664500E-03,-93.7500000E-03
+3.1669500E-03,+62.5000000E-03
+3.1674500E-03,-93.7500000E-03
+3.1679500E-03,+62.5000000E-03
+3.1684500E-03,+62.5000000E-03
+3.1689500E-03,+62.5000000E-03
+3.1694500E-03,+62.5000000E-03
+3.1699500E-03,+218.7500000E-03
+3.1704500E-03,+62.5000000E-03
+3.1709500E-03,+62.5000000E-03
+3.1714500E-03,+21.9374999999E+00
+3.1719500E-03,+13.1875000000E+00
+3.1724500E-03,+8.4999999999E+00
+3.1729500E-03,+5.8437500000E+00
+3.1734500E-03,+3.9687500000E+00
+3.1739500E-03,+3.1875000000E+00
+3.1744500E-03,+2.4062500000E+00
+3.1749500E-03,+2.2500000000E+00
+3.1754500E-03,+2.2500000000E+00
+3.1759500E-03,+2.0937500000E+00
+3.1764500E-03,+1.9375000000E+00
+3.1769500E-03,+1.9375000000E+00
+3.1774500E-03,+1.9375000000E+00
+3.1779500E-03,+1.7812500000E+00
+3.1784500E-03,+1.9375000000E+00
+3.1789500E-03,+2.0937500000E+00
+3.1794500E-03,+1.9375000000E+00
+3.1799500E-03,+1.9375000000E+00
+3.1804500E-03,+62.5000000E-03
+3.1809500E-03,+62.5000000E-03
+3.1814500E-03,-93.7500000E-03
+3.1819500E-03,+62.5000000E-03
+3.1824500E-03,+62.5000000E-03
+3.1829500E-03,+62.5000000E-03
+3.1834500E-03,+62.5000000E-03
+3.1839500E-03,+62.5000000E-03
+3.1844500E-03,+218.7500000E-03
+3.1849500E-03,+62.5000000E-03
+3.1854500E-03,
+3.1859500E-03,
+3.1864500E-03,
+3.1869500E-03,
+3.1874500E-03,
+3.1879500E-03,
+3.1884500E-03,
+3.1889500E-03,
+3.1894500E-03,
