x-axis,1,2,MATH
second,Volt,Volt,Volt
-25.0000E-06,-2.1250000000E+00,+4.4489998817E+00,-6.3500308990E+00
-24.5000E-06,-2.7500000000E+00,+4.4489998817E+00,-6.9750308990E+00
-24.0000E-06,-2.1250000000E+00,+4.4489998817E+00,-6.9164371490E+00
-23.5000E-06,-2.1250000000E+00,+4.3864998817E+00,-6.8578433990E+00
-23.0000E-06,-2.1250000000E+00,+4.3864998817E+00,-6.8578433990E+00
-22.5000E-06,-2.1250000000E+00,+4.3239998817E+00,-6.7797183990E+00
-22.0000E-06,-2.1250000000E+00,+4.2614998817E+00,-6.7797183990E+00
-21.5000E-06,-2.1250000000E+00,+4.2614998817E+00,-6.7211246490E+00
-21.0000E-06,-2.7500000000E+00,+4.2614998817E+00,-6.6625308990E+00
-20.5000E-06,-2.1250000000E+00,+4.1364998817E+00,-6.6625308990E+00
-20.0000E-06,+30.3750000000E+00,+4.2614998817E+00,+20.0757503509E+00
-19.5000E-06,+32.2500000000E+00,+4.4489998817E+00,+27.9468441010E+00
-19.0000E-06,+20.3750000000E+00,+4.7614998817E+00,+15.3296566010E+00
-18.5000E-06,+12.2500000000E+00,+4.7614998817E+00,+7.7124691010E+00
-18.0000E-06,+7.8750000000E+00,+4.7614998817E+00,+3.9624691010E+00
-17.5000E-06,+6.0000000000E+00,+4.8239998817E+00,+778.8753510E-03
-17.0000E-06,+4.1250000000E+00,+4.8239998817E+00,-471.1246490E-03
-16.5000E-06,+4.1250000000E+00,+4.8239998817E+00,-1.0961246490E+00
-16.0000E-06,+3.5000000000E+00,+4.8239998817E+00,-1.7797183990E+00
-15.5000E-06,+2.8750000000E+00,+4.8864998817E+00,-1.7211246490E+00
-15.0000E-06,+2.8750000000E+00,+4.8239998817E+00,-1.7211246490E+00
-14.5000E-06,+2.8750000000E+00,+4.8239998817E+00,-2.3461246490E+00
-14.0000E-06,+2.8750000000E+00,+4.8239998817E+00,-2.3461246490E+00
-13.5000E-06,+2.8750000000E+00,+4.8239998817E+00,-2.3461246490E+00
-13.0000E-06,+2.8750000000E+00,+4.8864998817E+00,-2.3461246490E+00
-12.5000E-06,+2.8750000000E+00,+4.8864998817E+00,-2.3461246490E+00
-12.0000E-06,+2.8750000000E+00,+4.8239998817E+00,-2.3461246490E+00
-11.5000E-06,+2.2500000000E+00,+4.7614998817E+00,-2.3461246490E+00
-11.0000E-06,-1.5000000000E+00,+4.8239998817E+00,-7.3461246490E+00
-10.5000E-06,-2.1250000000E+00,+4.8239998817E+00,-6.7211246490E+00
-10.0000E-06,-2.1250000000E+00,+4.7614998817E+00,-7.2875308990E+00
-9.5000E-06,-2.1250000000E+00,+4.7614998817E+00,-7.2875308990E+00
-9.0000E-06,-2.1250000000E+00,+4.7614998817E+00,-7.2289371490E+00
-8.5000E-06,-2.1250000000E+00,+4.6989998817E+00,-7.1703433990E+00
-8.0000E-06,-1.5000000000E+00,+4.6989998817E+00,-6.5453433990E+00
-7.5000E-06,-2.1250000000E+00,+4.6364998817E+00,-7.1703433990E+00
-7.0000E-06,-2.1250000000E+00,+4.6364998817E+00,-7.0922183990E+00
-6.5000E-06,-2.1250000000E+00,+4.5739998817E+00,-6.4086246490E+00
-6.0000E-06,-2.1250000000E+00,+4.6364998817E+00,-7.0336246490E+00
-5.5000E-06,-2.7500000000E+00,+4.5114998817E+00,-7.0336246490E+00
-5.0000E-06,-2.1250000000E+00,+4.4489998817E+00,-6.9750308990E+00
-4.5000E-06,-1.5000000000E+00,+4.5114998817E+00,-6.9750308990E+00
-4.0000E-06,-2.7500000000E+00,+4.3864998817E+00,-6.9164371490E+00
-3.5000E-06,-2.1250000000E+00,+4.3864998817E+00,-6.9164371490E+00
-3.0000E-06,-1.5000000000E+00,+4.3239998817E+00,-6.8578433990E+00
-2.5000E-06,-2.7500000000E+00,+4.1989998817E+00,-6.1547183990E+00
-2.0000E-06,-2.7500000000E+00,+4.2614998817E+00,-6.7211246490E+00
-1.5000E-06,-2.7500000000E+00,+4.2614998817E+00,-6.7211246490E+00
-1.0000E-06,-2.1250000000E+00,+4.1989998817E+00,-6.0961246490E+00
-500.0E-09,-1.5000000000E+00,+4.1364998817E+00,-6.6039371490E+00
-0.0E+00,+14.7500000000E+00,+4.2614998817E+00,+18.8257503509E+00
+500.0E-09,+32.8750000000E+00,+4.5739998817E+00,+27.9468441010E+00
+1.0000E-06,+19.7500000000E+00,+4.7614998817E+00,+15.3296566010E+00
+1.5000E-06,+12.8750000000E+00,+4.7614998817E+00,+7.7124691010E+00
+2.0000E-06,+7.8750000000E+00,+4.7614998817E+00,+3.3374691010E+00
+2.5000E-06,+6.0000000000E+00,+4.8239998817E+00,+1.4038753510E+00
+3.0000E-06,+4.1250000000E+00,+4.8864998817E+00,-471.1246490E-03
+3.5000E-06,+3.5000000000E+00,+4.8864998817E+00,-1.0961246490E+00
+4.0000E-06,+3.5000000000E+00,+4.8864998817E+00,-1.7211246490E+00
+4.5000E-06,+2.8750000000E+00,+4.8864998817E+00,-2.3461246490E+00
+5.0000E-06,+2.8750000000E+00,+4.8864998817E+00,-2.3461246490E+00
+5.5000E-06,+2.2500000000E+00,+4.8864998817E+00,-2.3461246490E+00
+6.0000E-06,+2.8750000000E+00,+4.8239998817E+00,-2.3461246490E+00
+6.5000E-06,+2.8750000000E+00,+4.7614998817E+00,-2.4047183990E+00
+7.0000E-06,+2.8750000000E+00,+4.7614998817E+00,-2.3461246490E+00
+7.5000E-06,+2.2500000000E+00,+4.8864998817E+00,-2.3461246490E+00
+8.0000E-06,+2.8750000000E+00,+4.8239998817E+00,-2.3461246490E+00
+8.5000E-06,+2.8750000000E+00,+4.8864998817E+00,-2.3461246490E+00
+9.0000E-06,-2.1250000000E+00,+4.8239998817E+00,-6.7211246490E+00
+9.5000E-06,-2.7500000000E+00,+4.8239998817E+00,-7.2875308990E+00
+10.0000E-06,-2.1250000000E+00,+4.6989998817E+00,-7.2875308990E+00
+10.5000E-06,-2.1250000000E+00,+4.7614998817E+00,-6.6625308990E+00
+11.0000E-06,-1.5000000000E+00,+4.6989998817E+00,-6.5453433990E+00
+11.5000E-06,-1.5000000000E+00,+4.7614998817E+00,-6.6039371490E+00
+12.0000E-06,-2.1250000000E+00,+4.6364998817E+00,-7.1703433990E+00
+12.5000E-06,-2.7500000000E+00,+4.6989998817E+00,-7.1703433990E+00
+13.0000E-06,-2.1250000000E+00,+4.6364998817E+00,-7.0922183990E+00
+13.5000E-06,-2.1250000000E+00,+4.6364998817E+00,-7.0922183990E+00
+14.0000E-06,-2.1250000000E+00,+4.5114998817E+00,-6.4086246490E+00
+14.5000E-06,-2.1250000000E+00,+4.5114998817E+00,-6.3500308990E+00
+15.0000E-06,-2.7500000000E+00,+4.5114998817E+00,-6.3500308990E+00
+15.5000E-06,-2.1250000000E+00,+4.3864998817E+00,-6.3500308990E+00
+16.0000E-06,-2.1250000000E+00,+4.4489998817E+00,-6.9164371490E+00
+16.5000E-06,-2.1250000000E+00,+4.3239998817E+00,-6.9164371490E+00
+17.0000E-06,-2.7500000000E+00,+4.3864998817E+00,-6.2328433990E+00
+17.5000E-06,-2.7500000000E+00,+4.2614998817E+00,-6.7797183990E+00
+18.0000E-06,-2.1250000000E+00,+4.2614998817E+00,-6.1547183990E+00
+18.5000E-06,-2.7500000000E+00,+4.1989998817E+00,-6.7211246490E+00
+19.0000E-06,-2.7500000000E+00,+4.1989998817E+00,-6.7211246490E+00
+19.5000E-06,-2.7500000000E+00,+4.1364998817E+00,-6.0375308990E+00
+20.0000E-06,+27.8750000000E+00,+4.2614998817E+00,+18.8257503509E+00
+20.5000E-06,+32.2500000000E+00,+4.5739998817E+00,+27.9468441010E+00
+21.0000E-06,+19.7500000000E+00,+4.6989998817E+00,+15.3296566010E+00
+21.5000E-06,+12.8750000000E+00,+4.7614998817E+00,+7.7710628510E+00
+22.0000E-06,+8.5000000000E+00,+4.8239998817E+00,+3.3374691010E+00
+22.5000E-06,+6.0000000000E+00,+4.7614998817E+00,+1.4038753510E+00
+23.0000E-06,+4.7500000000E+00,+4.7614998817E+00,-471.1246490E-03
+23.5000E-06,+3.5000000000E+00,+4.8239998817E+00,-1.0961246490E+00
+24.0000E-06,+3.5000000000E+00,+4.8239998817E+00,-1.0961246490E+00
+24.5000E-06,+3.5000000000E+00,+4.7614998817E+00,-1.7211246490E+00
